index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Telfair,Helena,969,116,282,37,3,438,56,102,53,5,216,3,1,0,0,4,658,
1,Telfair,Jacksonville,628,180,125,46,0,351,35,24,35,1,95,1,0,0,0,1,447,
2,Telfair,Lumber-City,963,162,174,50,0,386,66,45,223,0,334,3,3,0,0,6,726,
3,Telfair,McRae,2337,149,602,142,0,893,107,334,273,1,715,2,5,2,0,9,1617,
4,Telfair,Milan,802,244,247,67,0,558,30,20,23,0,73,1,0,0,0,1,632,
5,Telfair,Scotland,333,107,76,16,0,199,23,20,11,0,54,0,0,0,0,0,253,
