index,County,Precinct,Registered Voters,Robert Pruitt (Rep)_Election Day Votes,Robert Pruitt (Rep)_Advanced Voting Votes,Robert Pruitt (Rep)_Absentee by Mail Votes,Robert Pruitt (Rep)_Provisional Votes,Robert Pruitt (Rep)_Choice Total,Total,
0,Telfair,Helena,969,135,306,48,4,493,493,
1,Telfair,Jacksonville,628,178,123,44,0,345,345,
2,Telfair,Lumber-City,963,182,181,64,0,427,427,
3,Telfair,McRae,2337,195,712,208,0,1115,1115,
4,Telfair,Milan,802,243,242,70,0,555,555,
5,Telfair,Scotland,333,108,80,21,0,209,209,
