index,County,Precinct,Registered Voters,Timothy G. Vaughn (I) (Rep)_Election Day Votes,Timothy G. Vaughn (I) (Rep)_Advanced Voting Votes,Timothy G. Vaughn (I) (Rep)_Absentee by Mail Votes,Timothy G. Vaughn (I) (Rep)_Provisional Votes,Timothy G. Vaughn (I) (Rep)_Choice Total,Total,
0,Telfair,Helena,969,129,295,51,5,480,480,
1,Telfair,Jacksonville,628,165,122,47,0,334,334,
2,Telfair,Lumber-City,963,174,179,69,0,422,422,
3,Telfair,McRae,2337,188,713,221,0,1122,1122,
4,Telfair,Milan,802,230,231,67,0,528,528,
5,Telfair,Scotland,333,108,74,24,0,206,206,
