index,County,Precinct,Registered Voters,"Jason """"J.J"""" White (Rep)_Election Day Votes","Jason """"J.J"""" White (Rep)_Advanced Voting Votes","Jason """"J.J"""" White (Rep)_Absentee by Mail Votes","Jason """"J.J"""" White (Rep)_Provisional Votes","Jason """"J.J"""" White (Rep)_Choice Total",Neal Stanley (I) (Dem)_Election Day Votes,Neal Stanley (I) (Dem)_Advanced Voting Votes,Neal Stanley (I) (Dem)_Absentee by Mail Votes,Neal Stanley (I) (Dem)_Provisional Votes,Neal Stanley (I) (Dem)_Choice Total,Total,
0,Telfair,Helena,969,60,127,16,1,204,32,113,20,3,168,372,
1,Telfair,McRae,2337,6,35,8,0,49,4,35,6,0,45,94,
2,Telfair,Milan,802,113,120,27,0,260,94,87,44,0,225,485,
