index,County,Precinct,Registered Voters,Bryan Oakley Selph (I) (Dem)_Election Day Votes,Bryan Oakley Selph (I) (Dem)_Advanced Voting Votes,Bryan Oakley Selph (I) (Dem)_Absentee by Mail Votes,Bryan Oakley Selph (I) (Dem)_Provisional Votes,Bryan Oakley Selph (I) (Dem)_Choice Total,Total,
0,Telfair,Helena,969,136,284,63,6,489,489,
1,Telfair,Jacksonville,628,136,106,62,1,305,305,
2,Telfair,Lumber-City,963,161,141,232,0,534,534,
3,Telfair,McRae,2337,223,720,278,1,1222,1222,
4,Telfair,Milan,802,206,192,59,0,457,457,
5,Telfair,Scotland,333,91,74,22,0,187,187,
