index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Laurens,FBC-FLC,4180,330,1120,463,0,1913,165,522,334,1,1022,22,32,27,0,81,3016,
1,Laurens,Calhoun Park,6053,186,441,206,0,833,500,936,834,0,2270,32,42,33,0,107,3210,
2,Laurens,Fire Dept Sta 5,3672,509,1180,352,0,2041,129,365,214,0,708,15,24,9,0,48,2797,
3,Laurens,Buckeye,1047,205,123,59,0,387,73,101,134,0,308,8,6,3,0,17,712,
4,Laurens,Burch,422,163,45,36,0,244,18,13,34,0,65,3,0,0,0,3,312,
5,Laurens,Cadwell,749,287,119,50,1,457,30,27,18,0,75,8,2,0,0,10,542,
6,Laurens,Brewton,1739,452,323,111,1,887,69,96,70,0,235,2,8,5,0,15,1137,
7,Laurens,Dudley,1121,345,304,95,0,744,40,57,62,0,159,5,5,2,0,12,915,
8,Laurens,Hampton Mill,1772,640,359,137,0,1136,69,44,55,0,168,12,11,1,0,24,1328,
9,Laurens,Harvard,406,88,38,26,0,152,53,35,28,0,116,5,3,0,0,8,276,
10,Laurens,Minter,937,348,179,83,1,611,13,11,16,0,40,4,2,4,0,10,661,
11,Laurens,Rural Fire Sta 17,2344,471,515,173,0,1159,104,149,127,0,380,12,9,6,0,27,1566,
12,Laurens,W T Adams Fire Sta 18,2090,376,599,171,0,1146,90,202,171,1,464,8,13,9,0,30,1640,
13,Laurens,Reedy Springs,894,380,132,47,0,559,41,35,27,0,103,5,2,0,0,7,669,
14,Laurens,Smith,3374,390,440,161,0,991,236,368,269,0,873,22,18,13,0,53,1917,
15,Laurens,LCFS 10 Valambrosia,2080,297,402,151,0,850,108,234,166,0,508,8,17,8,0,33,1391,
