index,County,Precinct,Registered Voters,Jeff Davis (I) (Rep)_Election Day Votes,Jeff Davis (I) (Rep)_Advanced Voting Votes,Jeff Davis (I) (Rep)_Absentee by Mail Votes,Jeff Davis (I) (Rep)_Provisional Votes,Jeff Davis (I) (Rep)_Choice Total,Gary L. Johnson (Dem)_Election Day Votes,Gary L. Johnson (Dem)_Advanced Voting Votes,Gary L. Johnson (Dem)_Absentee by Mail Votes,Gary L. Johnson (Dem)_Provisional Votes,Gary L. Johnson (Dem)_Choice Total,Total,
0,Laurens,FBC-FLC,4180,333,1157,503,0,1993,182,530,327,1,1040,3033,
1,Laurens,Fire Dept Sta 5,3672,328,822,266,0,1416,78,210,123,0,411,1827,
2,Laurens,Dudley,1121,292,278,83,0,653,39,46,60,0,145,798,
3,Laurens,Harvard,406,9,5,2,0,16,4,3,7,0,14,30,
