index,County,Precinct,Registered Voters,Craig Fraser (I) (Rep)_Election Day Votes,Craig Fraser (I) (Rep)_Advanced Voting Votes,Craig Fraser (I) (Rep)_Absentee by Mail Votes,Craig Fraser (I) (Rep)_Provisional Votes,Craig Fraser (I) (Rep)_Choice Total,Adriane Latrell Love (Dem)_Election Day Votes,Adriane Latrell Love (Dem)_Advanced Voting Votes,Adriane Latrell Love (Dem)_Absentee by Mail Votes,Adriane Latrell Love (Dem)_Provisional Votes,Adriane Latrell Love (Dem)_Choice Total,Total,
0,Laurens,FBC-FLC,4180,316,1034,458,0,1808,205,654,377,1,1237,3045,
1,Laurens,Calhoun Park,6053,187,430,236,0,853,538,1026,847,0,2411,3264,
2,Laurens,Fire Dept Sta 5,3672,481,1109,345,0,1935,173,480,229,0,882,2817,
3,Laurens,Buckeye,1047,194,117,61,0,372,100,115,132,1,348,720,
4,Laurens,Burch,422,152,41,41,0,234,31,17,30,0,78,312,
5,Laurens,Cadwell,749,261,114,48,0,423,72,32,22,1,127,550,
6,Laurens,Brewton,1739,412,304,109,1,826,123,135,78,0,336,1162,
7,Laurens,Dudley,1121,306,282,90,0,678,85,90,68,0,243,921,
8,Laurens,Hampton Mill,1772,589,348,142,0,1079,144,67,53,0,264,1343,
9,Laurens,Harvard,406,89,36,26,0,151,59,39,29,0,127,278,
10,Laurens,Minter,937,317,152,88,1,558,50,43,19,0,112,670,
11,Laurens,Rural Fire Sta 17,2344,431,478,171,0,1080,165,201,136,0,502,1582,
12,Laurens,W T Adams Fire Sta 18,2090,329,578,175,0,1082,156,248,173,1,578,1660,
13,Laurens,Reedy Springs,894,354,118,43,0,515,83,50,33,0,166,681,
14,Laurens,Smith,3374,349,418,165,0,932,305,418,275,0,998,1930,
15,Laurens,LCFS 10 Valambrosia,2080,275,378,157,0,810,148,284,173,0,605,1415,
