index,County,Precinct,Registered Voters,Trae Kemp (I) (Rep)_Election Day Votes,Trae Kemp (I) (Rep)_Advanced Voting Votes,Trae Kemp (I) (Rep)_Absentee by Mail Votes,Trae Kemp (I) (Rep)_Provisional Votes,Trae Kemp (I) (Rep)_Choice Total,Peter B. Makaya (Dem)_Election Day Votes,Peter B. Makaya (Dem)_Advanced Voting Votes,Peter B. Makaya (Dem)_Absentee by Mail Votes,Peter B. Makaya (Dem)_Provisional Votes,Peter B. Makaya (Dem)_Choice Total,Total,
0,Laurens,Burch,422,166,45,36,0,247,17,13,36,0,66,313,
1,Laurens,Cadwell,749,282,121,47,1,451,45,27,22,0,94,545,
2,Laurens,Hampton Mill,1772,624,354,149,0,1127,101,61,48,0,210,1337,
3,Laurens,Rural Fire Sta 17,2344,476,511,181,0,1168,115,165,126,0,406,1574,
4,Laurens,Reedy Springs,894,386,133,44,0,563,51,35,29,0,115,678,
5,Laurens,LCFS 10 Valambrosia,2080,84,113,38,0,235,18,38,30,0,86,321,
