index,County,Precinct,Registered Voters,Larry H. Dean (I) (Rep)_Election Day Votes,Larry H. Dean (I) (Rep)_Advanced Voting Votes,Larry H. Dean (I) (Rep)_Absentee by Mail Votes,Larry H. Dean (I) (Rep)_Provisional Votes,Larry H. Dean (I) (Rep)_Choice Total,Marshall R. Floyd (Dem)_Election Day Votes,Marshall R. Floyd (Dem)_Advanced Voting Votes,Marshall R. Floyd (Dem)_Absentee by Mail Votes,Marshall R. Floyd (Dem)_Provisional Votes,Marshall R. Floyd (Dem)_Choice Total,Total,
0,Laurens,FBC-FLC,4180,324,1107,498,0,1929,202,582,336,1,1121,3050,
1,Laurens,Calhoun Park,6053,251,554,334,0,1139,477,901,733,0,2111,3250,
2,Laurens,Fire Dept Sta 5,3672,483,1098,357,0,1938,177,498,222,0,897,2835,
3,Laurens,Buckeye,1047,215,127,64,0,406,82,104,130,1,317,723,
4,Laurens,Burch,422,141,41,36,0,218,42,17,35,0,94,312,
5,Laurens,Cadwell,749,247,114,49,1,411,91,35,21,0,147,558,
6,Laurens,Brewton,1739,418,313,115,1,847,123,126,74,0,323,1170,
7,Laurens,Dudley,1121,309,273,94,0,676,85,99,64,0,248,924,
8,Laurens,Hampton Mill,1772,548,313,142,0,1003,187,103,56,0,346,1349,
9,Laurens,Harvard,406,102,46,27,0,175,52,30,26,0,108,283,
10,Laurens,Minter,937,283,155,84,1,523,90,40,26,0,156,679,
11,Laurens,Rural Fire Sta 17,2344,439,458,159,0,1056,168,224,150,0,542,1598,
12,Laurens,W T Adams Fire Sta 18,2090,370,591,189,0,1150,117,237,160,1,515,1665,
13,Laurens,Reedy Springs,894,363,116,47,0,526,77,51,29,0,157,683,
14,Laurens,Smith,3374,370,483,215,0,1068,283,368,226,0,877,1945,
15,Laurens,LCFS 10 Valambrosia,2080,255,352,157,0,764,172,306,172,0,650,1414,
