index,County,Precinct,Registered Voters,Matt Hatchett (I) (Rep)_Election Day Votes,Matt Hatchett (I) (Rep)_Advanced Voting Votes,Matt Hatchett (I) (Rep)_Absentee by Mail Votes,Matt Hatchett (I) (Rep)_Provisional Votes,Matt Hatchett (I) (Rep)_Choice Total,Total,
0,Laurens,FBC-FLC,4180,455,1449,633,1,2538,2538,
1,Laurens,Calhoun Park,6053,501,926,631,0,2058,2058,
2,Laurens,Fire Dept Sta 5,3672,605,1387,466,0,2458,2458,
3,Laurens,Buckeye,1047,247,164,105,0,516,516,
4,Laurens,Brewton,1739,501,382,143,1,1027,1027,
5,Laurens,Dudley,1121,374,346,131,0,851,851,
6,Laurens,Hampton Mill,1772,692,395,174,0,1261,1261,
7,Laurens,Minter,937,364,186,92,1,643,643,
8,Laurens,Rural Fire Sta 17,2344,541,595,232,0,1368,1368,
9,Laurens,Reedy Springs,894,415,150,64,0,629,629,
10,Laurens,Smith,3374,542,651,293,0,1486,1486,
11,Laurens,LCFS 10 Valambrosia,2080,370,536,218,0,1124,1124,
