index,County,Precinct,Registered Voters,Danny Mathis (I) (Rep)_Election Day Votes,Danny Mathis (I) (Rep)_Advanced Voting Votes,Danny Mathis (I) (Rep)_Absentee by Mail Votes,Danny Mathis (I) (Rep)_Provisional Votes,Danny Mathis (I) (Rep)_Choice Total,Mary_Election Day Votes,Mary_Advanced Voting Votes,Mary_Absentee by Mail Votes,Mary_Provisional Votes,Mary_Choice Total,Total,
0,Laurens,Harvard,406,104,40,29,0,173,49,35,23,0,107,280,
1,Laurens,W T Adams Fire Sta 18,2090,384,624,177,0,1185,94,192,169,0,455,1640,
