index,County,Precinct,Registered Voters,"Richard N. Stanley, III (I) (Rep)_Election Day Votes","Richard N. Stanley, III (I) (Rep)_Advanced Voting Votes","Richard N. Stanley, III (I) (Rep)_Absentee by Mail Votes","Richard N. Stanley, III (I) (Rep)_Provisional Votes","Richard N. Stanley, III (I) (Rep)_Choice Total",Kendrick K. Mack (Dem)_Election Day Votes,Kendrick K. Mack (Dem)_Advanced Voting Votes,Kendrick K. Mack (Dem)_Absentee by Mail Votes,Kendrick K. Mack (Dem)_Provisional Votes,Kendrick K. Mack (Dem)_Choice Total,Total,
0,Laurens,FBC-FLC,4180,349,1202,533,0,2084,171,485,303,1,960,3044,
1,Laurens,Calhoun Park,6053,230,587,328,0,1145,491,868,738,0,2097,3242,
2,Laurens,Fire Dept Sta 5,3672,531,1229,385,0,2145,127,362,191,0,680,2825,
3,Laurens,Buckeye,1047,214,138,67,0,419,81,94,126,0,301,720,
4,Laurens,Burch,422,164,46,40,0,250,19,12,34,0,65,315,
5,Laurens,Cadwell,749,278,122,52,1,453,53,26,18,0,97,550,
6,Laurens,Brewton,1739,449,346,120,1,916,92,90,65,0,247,1163,
7,Laurens,Dudley,1121,340,294,105,0,739,53,79,54,0,186,925,
8,Laurens,Hampton Mill,1772,624,362,146,0,1132,105,54,50,0,209,1341,
9,Laurens,Harvard,406,90,39,27,0,156,62,36,24,0,122,278,
10,Laurens,Minter,937,339,176,93,1,609,31,18,14,0,63,672,
11,Laurens,Rural Fire Sta 17,2344,478,529,190,0,1197,114,150,115,0,379,1576,
12,Laurens,W T Adams Fire Sta 18,2090,380,623,201,0,1204,105,204,147,1,457,1661,
13,Laurens,Reedy Springs,894,398,133,49,0,580,41,35,28,0,104,684,
14,Laurens,Smith,3374,395,504,190,0,1089,263,341,253,0,857,1946,
15,Laurens,LCFS 10 Valambrosia,2080,312,424,166,0,902,115,239,163,0,517,1419,
