index,County,Precinct,Registered Voters,Larry Walker (I) (Rep)_Election Day Votes,Larry Walker (I) (Rep)_Advanced Voting Votes,Larry Walker (I) (Rep)_Absentee by Mail Votes,Larry Walker (I) (Rep)_Provisional Votes,Larry Walker (I) (Rep)_Choice Total,Julius Newberry Johnson (Dem)_Election Day Votes,Julius Newberry Johnson (Dem)_Advanced Voting Votes,Julius Newberry Johnson (Dem)_Absentee by Mail Votes,Julius Newberry Johnson (Dem)_Provisional Votes,Julius Newberry Johnson (Dem)_Choice Total,Total,
0,Laurens,FBC-FLC,4180,350,1158,491,0,1999,167,523,334,1,1025,3024,
1,Laurens,Calhoun Park,6053,212,478,231,0,921,505,940,838,0,2283,3204,
2,Laurens,Fire Dept Sta 5,3672,525,1202,375,0,2102,128,373,205,0,706,2808,
3,Laurens,Buckeye,1047,210,127,64,0,401,78,100,128,1,307,708,
4,Laurens,Burch,422,164,45,38,0,247,18,13,34,0,65,312,
5,Laurens,Cadwell,749,295,124,51,1,471,31,25,18,0,74,545,
6,Laurens,Brewton,1739,457,334,113,1,905,67,96,73,0,236,1141,
7,Laurens,Dudley,1121,352,315,98,0,765,39,56,59,0,154,919,
8,Laurens,Hampton Mill,1772,647,372,142,0,1161,73,41,51,0,165,1326,
9,Laurens,Harvard,406,102,39,28,0,169,48,37,25,0,110,279,
10,Laurens,Minter,937,345,183,90,1,619,14,10,16,0,40,659,
11,Laurens,Rural Fire Sta 17,2344,479,521,184,0,1184,108,150,119,0,377,1561,
12,Laurens,W T Adams Fire Sta 18,2090,379,612,175,0,1166,96,203,171,1,471,1637,
13,Laurens,Reedy Springs,894,388,137,47,0,572,39,32,29,0,100,672,
14,Laurens,Smith,3374,401,461,179,0,1041,243,368,257,0,868,1909,
15,Laurens,LCFS 10 Valambrosia,2080,310,410,152,0,872,106,236,169,0,511,1383,
