index,County,Precinct,Registered Voters,Jackie H. Dalton (I) (Rep)_Election Day Votes,Jackie H. Dalton (I) (Rep)_Advanced Voting Votes,Jackie H. Dalton (I) (Rep)_Absentee by Mail Votes,Jackie H. Dalton (I) (Rep)_Provisional Votes,Jackie H. Dalton (I) (Rep)_Choice Total,Carolyn McLendon McCune (Dem)_Election Day Votes,Carolyn McLendon McCune (Dem)_Advanced Voting Votes,Carolyn McLendon McCune (Dem)_Absentee by Mail Votes,Carolyn McLendon McCune (Dem)_Provisional Votes,Carolyn McLendon McCune (Dem)_Choice Total,Total,
0,Laurens,FBC-FLC,4180,342,1167,511,0,2020,180,522,320,1,1023,3043,
1,Laurens,Calhoun Park,6053,183,462,235,0,880,546,993,842,0,2381,3261,
2,Laurens,Fire Dept Sta 5,3672,521,1203,377,0,2101,139,384,206,0,729,2830,
3,Laurens,Buckeye,1047,212,127,56,0,395,82,106,139,1,328,723,
4,Laurens,Burch,422,164,46,41,0,251,19,12,33,0,64,315,
5,Laurens,Cadwell,749,300,122,50,1,473,34,27,19,0,80,553,
6,Laurens,Brewton,1739,451,330,117,1,899,87,106,69,0,262,1161,
7,Laurens,Dudley,1121,351,311,98,0,760,45,62,61,0,168,928,
8,Laurens,Hampton Mill,1772,648,370,144,0,1162,83,45,51,0,179,1341,
9,Laurens,Harvard,406,101,38,30,0,169,50,37,22,0,109,278,
10,Laurens,Minter,937,349,183,91,1,624,20,12,18,0,50,674,
11,Laurens,Rural Fire Sta 17,2344,489,521,182,0,1192,105,157,126,0,388,1580,
12,Laurens,W T Adams Fire Sta 18,2090,386,627,183,0,1196,95,199,166,1,461,1657,
13,Laurens,Reedy Springs,894,396,130,47,0,573,39,37,28,0,104,677,
14,Laurens,Smith,3374,390,461,163,0,1014,268,381,277,0,926,1940,
15,Laurens,LCFS 10 Valambrosia,2080,302,416,160,0,878,123,246,166,0,535,1413,
