index,County,Precinct,Registered Voters,Lewis R. Lamb (I) (Ind)_Election Day Votes,Lewis R. Lamb (I) (Ind)_Advanced Voting Votes,Lewis R. Lamb (I) (Ind)_Absentee by Mail Votes,Lewis R. Lamb (I) (Ind)_Provisional Votes,Lewis R. Lamb (I) (Ind)_Choice Total,Total,
0,Stewart,Richland,1256,151,264,130,3,548,548,
1,Stewart,Louvale,286,62,43,31,1,137,137,
2,Stewart,Lumpkin,1134,87,320,91,2,500,500,
3,Stewart,Omaha,217,52,19,12,1,84,84,
