index,County,Precinct,Registered Voters,Lee Anderson (I) (Rep)_Election Day Votes,Lee Anderson (I) (Rep)_Advanced Voting Votes,Lee Anderson (I) (Rep)_Absentee by Mail Votes,Lee Anderson (I) (Rep)_Provisional Votes,Lee Anderson (I) (Rep)_Choice Total,Total,
0,Oglethorpe,Beaverdam,3509,530,1197,405,0,2132,2132,
1,Oglethorpe,Crawford,3044,326,1074,305,0,1705,1705,
2,Oglethorpe,Lexington,4291,385,1697,495,2,2579,2579,
