index,County,Precinct,Registered Voters,Jay Paul (Rep)_Election Day Votes,Jay Paul (Rep)_Advanced Voting Votes,Jay Paul (Rep)_Absentee by Mail Votes,Jay Paul (Rep)_Provisional Votes,Jay Paul (Rep)_Choice Total,Total,
0,Oglethorpe,Beaverdam,3509,534,1205,421,0,2160,2160,
1,Oglethorpe,Crawford,3044,337,1097,339,0,1773,1773,
2,Oglethorpe,Lexington,4291,391,1763,525,2,2681,2681,
