index,County,Precinct,Registered Voters,Sheila C. Arnold (I) (Rep)_Election Day Votes,Sheila C. Arnold (I) (Rep)_Advanced Voting Votes,Sheila C. Arnold (I) (Rep)_Absentee by Mail Votes,Sheila C. Arnold (I) (Rep)_Provisional Votes,Sheila C. Arnold (I) (Rep)_Choice Total,Total,
0,Oglethorpe,Beaverdam,3509,547,1244,447,0,2238,2238,
1,Oglethorpe,Crawford,3044,355,1144,361,1,1861,1861,
2,Oglethorpe,Lexington,4291,416,1833,571,2,2822,2822,
