index,County,Precinct,Registered Voters,Kelli Paradise Smith (I) (Rep)_Election Day Votes,Kelli Paradise Smith (I) (Rep)_Advanced Voting Votes,Kelli Paradise Smith (I) (Rep)_Absentee by Mail Votes,Kelli Paradise Smith (I) (Rep)_Provisional Votes,Kelli Paradise Smith (I) (Rep)_Choice Total,Total,
0,Oglethorpe,Beaverdam,3509,540,1225,432,0,2197,2197,
1,Oglethorpe,Crawford,3044,349,1143,345,1,1838,1838,
2,Oglethorpe,Lexington,4291,410,1802,548,1,2761,2761,
