County,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_TOTAL VOTES,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_TOTAL VOTES,Total,
Appling,1676,876,3775,8,6335,322,557,808,3,1690,8025,
Bulloch,6709,2992,9089,23,18813,2337,3303,5018,31,10689,29502,
Burke,1951,691,2831,0,5473,1402,1793,1764,0,4959,10432,
Candler,1599,393,1153,0,3145,489,350,335,1,1175,4320,
Coffee,2483,916,6909,7,10315,1054,938,2247,4,4243,14558,
Columbia,11334,6898,25727,40,43999,4030,7711,12205,25,23971,67970,
Effingham,2575,1000,5569,4,9148,636,723,1201,3,2563,11711,
Emanuel,2526,932,3107,1,6566,762,732,1119,1,2614,9180,
Evans,474,508,1917,0,2899,217,312,688,0,1217,4116,
Jeff Davis,1353,530,2646,0,4529,253,254,488,0,995,5524,
Jenkins,576,358,1237,3,2174,282,386,512,1,1181,3355,
Laurens,5603,2405,6504,3,14515,1795,2602,3248,3,7648,22163,
Montgomery,1096,355,1491,0,2942,243,281,375,0,899,3841,
Richmond,8988,7014,12617,0,28619,11358,20160,24752,0,56270,84889,
Screven,1264,539,2157,10,3970,568,739,1180,7,2494,6464,
Tattnall,1529,838,3653,0,6020,379,503,997,0,1879,7899,
Toombs,1786,1246,4838,6,7876,555,997,1183,3,2738,10614,
Treutlen,405,279,1383,0,2067,111,276,476,0,863,2930,
Wheeler,428,196,925,0,1549,191,184,279,0,654,2203,
