index,County,Precinct,Registered Voters,Renitta Shannon (I) (Dem)_Election Day Votes,Renitta Shannon (I) (Dem)_Advanced Voting Votes,Renitta Shannon (I) (Dem)_Absentee by Mail Votes,Renitta Shannon (I) (Dem)_Provisional Votes,Renitta Shannon (I) (Dem)_Choice Total,Total,
0,DeKalb,Avondale High,3151,58,517,389,3,967,967,
1,DeKalb,Columbia Elem,1794,149,334,238,3,724,724,
2,DeKalb,Chapel Hill Elem,3349,262,1208,683,3,2156,2156,
3,DeKalb,Clairemont West,3264,137,1180,1056,2,2375,2375,
4,DeKalb,Clairmont Road,3223,189,903,929,6,2027,2027,
5,DeKalb,Columbia Middle,2178,154,605,341,3,1103,1103,
6,DeKalb,Candler,3537,250,1022,592,8,1872,1872,
7,DeKalb,East Lake,4139,0,2,2,0,4,4,
8,DeKalb,Flat Shoals Parkway,3449,202,1305,740,1,2248,2248,
9,DeKalb,Flakes Mill Fire Station,2103,120,744,425,3,1292,1292,
10,DeKalb,Flat Shoals Library,2788,244,728,416,1,1389,1389,
11,DeKalb,Glennwood,2715,75,754,710,2,1541,1541,
12,DeKalb,Medlock,2208,145,706,682,1,1534,1534,
13,DeKalb,Mathis-Bob Mathis Elem,2789,227,943,698,2,1870,1870,
14,DeKalb,Scott,2805,118,828,894,0,1840,1840,
15,DeKalb,Shamrock,1600,137,468,483,2,1090,1090,
16,DeKalb,Snapfinger Road,4872,220,2209,1067,5,3501,3501,
17,DeKalb,Toney Elem,1729,154,452,350,2,958,958,
18,DeKalb,Winnona Park,2020,50,866,580,2,1498,1498,
