index,County,Precinct,Registered Voters,Garry Guan (Rep)_Election Day Votes,Garry Guan (Rep)_Advanced Voting Votes,Garry Guan (Rep)_Absentee by Mail Votes,Garry Guan (Rep)_Provisional Votes,Garry Guan (Rep)_Choice Total,Sally Harrell (I) (Dem)_Election Day Votes,Sally Harrell (I) (Dem)_Advanced Voting Votes,Sally Harrell (I) (Dem)_Absentee by Mail Votes,Sally Harrell (I) (Dem)_Provisional Votes,Sally Harrell (I) (Dem)_Choice Total,Total,
0,DeKalb,Ashford Park Elem,2432,202,569,174,0,945,94,510,391,0,995,1940,
1,DeKalb,Austin,2538,235,586,316,3,1140,68,525,436,0,1029,2169,
2,DeKalb,Ashford Dunwoody Rd,2966,202,639,237,3,1081,64,772,529,2,1367,2448,
3,DeKalb,Ashford Parkside,3664,186,622,299,1,1108,97,791,712,5,1605,2713,
4,DeKalb,Brookhaven,3444,246,680,239,1,1166,142,855,563,2,1562,2728,
5,DeKalb,Chamblee,2231,110,320,89,1,520,112,592,377,2,1083,1603,
6,DeKalb,Chesnut Elem,2363,103,233,75,1,412,178,704,360,1,1243,1655,
7,DeKalb,Chamblee 2,3137,131,533,222,0,886,101,917,554,0,1572,2458,
8,DeKalb,Doraville North,3065,132,192,113,3,440,247,695,419,4,1365,1805,
9,DeKalb,Doraville South,1255,64,101,57,1,223,96,289,203,2,590,813,
10,DeKalb,Dresden Elem,5141,52,132,56,1,241,69,204,223,0,496,737,
11,DeKalb,Dunwoody,3003,115,446,187,1,749,108,785,538,7,1438,2187,
12,DeKalb,Dunwoody 2,2044,126,488,214,3,831,42,510,330,2,884,1715,
13,DeKalb,Dunwoody Library,2570,102,767,273,1,1143,37,585,399,1,1022,2165,
14,DeKalb,Embry Hills,1721,64,244,142,0,450,73,435,387,0,895,1345,
15,DeKalb,Evansdale Elem,3441,143,396,223,1,763,174,867,664,2,1707,2470,
16,DeKalb,Georgetown Sq,4155,151,561,189,4,905,194,1119,580,4,1897,2802,
17,DeKalb,Henderson Mill,3104,108,373,221,1,703,140,829,660,1,1630,2333,
18,DeKalb,Huntley Hills Elem,3508,143,334,129,1,607,259,1041,492,3,1795,2402,
19,DeKalb,Kingsley Elem,2490,191,578,318,3,1090,83,450,462,6,1001,2091,
20,DeKalb,Kittredge Elem,2161,135,469,195,2,801,61,525,420,2,1008,1809,
21,DeKalb,Livsey Elem,1350,70,218,102,0,390,55,376,280,0,711,1101,
22,DeKalb,Midvale Elem,2747,169,519,293,0,981,88,643,571,3,1305,2286,
23,DeKalb,Mount Vernon East,2651,192,680,259,1,1132,84,599,397,3,1083,2215,
24,DeKalb,Mount Vernon West,2303,113,548,189,5,855,50,616,355,5,1026,1881,
25,DeKalb,Montgomery Elem,2446,165,457,211,3,836,85,613,485,3,1186,2022,
26,DeKalb,Midvale Road,1832,46,116,57,0,219,128,600,316,1,1045,1264,
27,DeKalb,North Peachtree,1916,77,182,95,2,356,119,442,268,4,833,1189,
28,DeKalb,Oakcliff Elem,2125,90,150,98,1,339,240,383,259,5,887,1226,
29,DeKalb,Peachtree Middle,3502,107,342,176,3,628,196,1043,541,3,1783,2411,
30,DeKalb,Pleasantdale Road,4538,82,208,97,0,387,390,1080,561,4,2035,2422,
31,DeKalb,Silver Lake,4979,198,1020,392,1,1611,140,1086,809,1,2036,3647,
32,DeKalb,Skyland,2100,147,374,161,2,684,99,511,322,3,935,1619,
33,DeKalb,Tucker Library,3506,11,51,24,0,86,19,130,74,0,223,309,
34,DeKalb,Tilly Mill Road,1552,120,351,151,1,623,58,347,237,0,642,1265,
35,DeKalb,Warren Tech,1364,79,118,57,0,254,128,307,215,3,653,907,
36,DeKalb,Winters Chapel,1434,124,295,138,0,557,56,309,257,2,624,1181,
