index,County,Precinct,Registered Voters,Andrea Johnson (Rep)_Election Day Votes,Andrea Johnson (Rep)_Advanced Voting Votes,Andrea Johnson (Rep)_Absentee by Mail Votes,Andrea Johnson (Rep)_Provisional Votes,Andrea Johnson (Rep)_Choice Total,Michael S. Wilensky (I) (Dem)_Election Day Votes,Michael S. Wilensky (I) (Dem)_Advanced Voting Votes,Michael S. Wilensky (I) (Dem)_Absentee by Mail Votes,Michael S. Wilensky (I) (Dem)_Provisional Votes,Michael S. Wilensky (I) (Dem)_Choice Total,Total,
0,DeKalb,Austin,2538,230,596,319,0,1145,68,520,424,0,1012,2157,
1,DeKalb,Chesnut Elem,2363,106,232,79,1,418,176,708,353,1,1238,1656,
2,DeKalb,Doraville North,3065,88,137,52,2,279,155,543,259,3,960,1239,
3,DeKalb,Dunwoody,3003,120,443,184,1,748,109,791,536,7,1443,2191,
4,DeKalb,Dunwoody 2,2044,128,479,215,2,824,43,528,321,2,894,1718,
5,DeKalb,Dunwoody Library,2570,104,766,271,1,1142,37,588,399,2,1026,2168,
6,DeKalb,Georgetown Sq,4155,161,575,196,3,935,190,1114,573,4,1881,2816,
7,DeKalb,Huntley Hills Elem,3508,96,195,78,2,371,183,703,332,1,1219,1590,
8,DeKalb,Kingsley Elem,2490,194,594,321,3,1112,84,444,457,6,991,2103,
9,DeKalb,Mount Vernon East,2651,197,681,257,1,1136,81,598,393,1,1073,2209,
10,DeKalb,Mount Vernon West,2303,113,549,195,5,862,49,619,343,5,1016,1878,
11,DeKalb,North Peachtree,1916,87,183,93,3,366,113,443,273,3,832,1198,
12,DeKalb,Peachtree Middle,3502,120,363,178,2,663,186,1032,528,2,1748,2411,
13,DeKalb,Tilly Mill Road,1552,125,354,149,1,629,53,350,238,0,641,1270,
14,DeKalb,Winters Chapel,1434,121,296,137,1,555,59,307,261,1,628,1183,
