index,County,Precinct,Registered Voters,Rhonda S. Taylor (Dem)_Election Day Votes,Rhonda S. Taylor (Dem)_Advanced Voting Votes,Rhonda S. Taylor (Dem)_Absentee by Mail Votes,Rhonda S. Taylor (Dem)_Provisional Votes,Rhonda S. Taylor (Dem)_Choice Total,Total,
0,DeKalb,Candler-Murphey Candler Elem,3712,294,1439,647,2,2382,2382,
1,DeKalb,Fairington Elem,5455,448,1588,659,3,2698,2698,
2,DeKalb,Flat Rock Elem,3142,259,1336,547,6,2148,2148,
3,DeKalb,Stonecrest Library,3720,220,1538,547,5,2310,2310,
4,DeKalb,Woodrow Road,3493,253,1099,496,5,1853,1853,
