index,County,Precinct,Registered Voters,Mereda Davis Johnson (I) (Dem)_Election Day Votes,Mereda Davis Johnson (I) (Dem)_Advanced Voting Votes,Mereda Davis Johnson (I) (Dem)_Absentee by Mail Votes,Mereda Davis Johnson (I) (Dem)_Provisional Votes,Mereda Davis Johnson (I) (Dem)_Choice Total,Total,
0,DeKalb,Austin Drive,2536,201,638,446,12,1297,1297,
1,DeKalb,Browns Mill Elem,3829,311,1462,870,3,2646,2646,
2,DeKalb,Bethune Middle,4838,334,1355,955,10,2654,2654,
3,DeKalb,Candler-Murphey Candler Elem,3712,290,1422,643,7,2362,2362,
4,DeKalb,Chapel Hill Elem,3349,148,669,370,3,1190,1190,
5,DeKalb,Crossroads,2898,244,870,628,3,1745,1745,
6,DeKalb,Fairington Elem,5455,446,1576,649,9,2680,2680,
7,DeKalb,Flat Rock Elem,3142,257,1327,536,5,2125,2125,
8,DeKalb,Glenhaven,1880,218,478,319,2,1017,1017,
9,DeKalb,Glenwood Road,2293,197,544,397,4,1142,1142,
10,DeKalb,Lithonia,1730,232,395,216,2,845,845,
11,DeKalb,Lithonia High,3610,343,1072,537,11,1963,1963,
12,DeKalb,Marbut Elem,4234,320,1405,620,14,2359,2359,
13,DeKalb,McWilliams,2517,149,971,552,3,1675,1675,
14,DeKalb,Miller Grove,4747,337,1392,683,9,2421,2421,
15,DeKalb,Miller Grove Road,2151,179,737,495,3,1414,1414,
16,DeKalb,Miller Grove High,3470,282,977,451,6,1716,1716,
17,DeKalb,Princeton Elem,2376,169,860,453,1,1483,1483,
18,DeKalb,Panola,1586,138,475,322,2,937,937,
19,DeKalb,Panola Way Elem,2252,202,586,315,19,1122,1122,
20,DeKalb,Panola Road,2884,190,1020,566,6,1782,1782,
21,DeKalb,Redan Elem,3020,204,1145,582,3,1934,1934,
22,DeKalb,Rock Chapel Elem,2910,207,1111,511,5,1834,1834,
23,DeKalb,Rowland Elem,3765,288,914,578,6,1786,1786,
24,DeKalb,Redan-Trotti Library,3990,273,1255,728,19,2275,2275,
25,DeKalb,Redan Road,2932,230,890,499,10,1629,1629,
26,DeKalb,Rock Chapel Road,4178,253,1605,803,15,2676,2676,
27,DeKalb,Redan Middle,2496,150,861,514,4,1529,1529,
28,DeKalb,Stoneview Elem,1988,162,488,246,7,903,903,
29,DeKalb,Salem Middle,3519,219,1383,831,5,2438,2438,
30,DeKalb,Snapfinger Road S,1960,158,706,429,2,1295,1295,
31,DeKalb,Stonecrest Library,3720,215,1519,535,8,2277,2277,
32,DeKalb,Snapfinger Road,4872,216,2208,1063,5,3492,3492,
33,DeKalb,Woodrow Road,3493,247,1085,490,9,1831,1831,
34,DeKalb,Woodridge Elem,3851,324,1019,746,7,2096,2096,
35,DeKalb,White Oak,2951,313,724,418,2,1457,1457,
36,DeKalb,Young Road,1951,107,766,423,4,1300,1300,
