index,County,Precinct,Registered Voters,Bee Nguyen (I) (Dem)_Election Day Votes,Bee Nguyen (I) (Dem)_Advanced Voting Votes,Bee Nguyen (I) (Dem)_Absentee by Mail Votes,Bee Nguyen (I) (Dem)_Provisional Votes,Bee Nguyen (I) (Dem)_Choice Total,Total,
0,DeKalb,Boulevard,4675,263,1903,1233,2,3401,3401,
1,DeKalb,Bouldercrest Road,2004,160,769,357,2,1288,1288,
2,DeKalb,Burgess Elem,3493,197,1375,889,5,2466,2466,
3,DeKalb,Cedar Grove Elem,4097,302,1492,775,6,2575,2575,
4,DeKalb,Coan Recreation Center,4230,209,1621,919,2,2751,2751,
5,DeKalb,Cedar Grove South,3962,268,1583,737,6,2594,2594,
6,DeKalb,Candler Park,4018,126,1773,1310,1,3210,3210,
7,DeKalb,East Lake,4139,16,62,13,0,91,91,
8,DeKalb,Gresham Road,3601,221,1176,789,13,2199,2199,
9,DeKalb,Lin-Mary Lin Elem,3009,143,1108,933,6,2190,2190,
10,DeKalb,McNair High,4160,276,1441,971,4,2692,2692,
11,DeKalb,Meadowview,3511,223,1000,754,7,1984,1984,
12,DeKalb,Metropolitan,3405,178,1387,749,7,2321,2321,
13,DeKalb,Piney Grove,2018,161,534,344,4,1043,1043,
14,DeKalb,Terry Mill,2808,231,970,591,3,1795,1795,
