index,County,Precinct,Registered Voters,Scott Holcomb (I) (Dem)_Election Day Votes,Scott Holcomb (I) (Dem)_Advanced Voting Votes,Scott Holcomb (I) (Dem)_Absentee by Mail Votes,Scott Holcomb (I) (Dem)_Provisional Votes,Scott Holcomb (I) (Dem)_Choice Total,Total,
0,DeKalb,Ashford Park Elem,2432,183,776,458,0,1417,1417,
1,DeKalb,Chamblee,2231,159,751,404,2,1316,1316,
2,DeKalb,Chamblee 2,3137,151,1057,544,0,1752,1752,
3,DeKalb,Doraville North,3065,119,185,165,1,470,470,
4,DeKalb,Doraville South,1255,126,332,217,2,677,677,
5,DeKalb,Dresden Elem,5141,91,269,257,0,617,617,
6,DeKalb,Embry Hills,1721,70,355,250,0,675,675,
7,DeKalb,Evansdale Elem,3441,228,896,603,2,1729,1729,
8,DeKalb,Henderson Mill,3104,185,991,753,2,1931,1931,
9,DeKalb,Livsey Elem,1350,82,488,324,0,894,894,
10,DeKalb,Midvale Elem,2747,126,674,513,3,1316,1316,
11,DeKalb,Oakcliff Elem,2125,280,464,305,5,1054,1054,
12,DeKalb,Pleasantdale Road,4538,18,120,127,0,265,265,
13,DeKalb,Skyland,2100,175,687,387,4,1253,1253,
14,DeKalb,Tucker Library,3506,0,19,9,0,28,28,
15,DeKalb,Warren Tech,1364,173,366,235,3,777,777,
