index,County,Precinct,Registered Voters,Alan Cole (Rep)_Election Day Votes,Alan Cole (Rep)_Advanced Voting Votes,Alan Cole (Rep)_Absentee by Mail Votes,Alan Cole (Rep)_Provisional Votes,Alan Cole (Rep)_Choice Total,Matthew Wilson (I) (Dem)_Election Day Votes,Matthew Wilson (I) (Dem)_Advanced Voting Votes,Matthew Wilson (I) (Dem)_Absentee by Mail Votes,Matthew Wilson (I) (Dem)_Provisional Votes,Matthew Wilson (I) (Dem)_Choice Total,Total,
0,DeKalb,Ashford Dunwoody Rd,2966,205,650,241,4,1100,60,757,515,2,1334,2434,
1,DeKalb,Ashford Parkside,3664,190,642,293,1,1126,97,782,699,5,1583,2709,
2,DeKalb,Briarwood,2428,122,410,132,1,665,99,570,407,0,1076,1741,
3,DeKalb,Brookhaven,3444,246,703,235,1,1185,142,822,559,2,1525,2710,
4,DeKalb,Cross Keys High,2260,103,269,142,0,514,105,500,463,3,1071,1585,
5,DeKalb,Chamblee 2,3137,18,74,17,0,109,8,92,83,0,183,292,
6,DeKalb,Huntley Hills Elem,3508,54,150,52,0,256,72,333,158,0,563,819,
7,DeKalb,Kittredge Elem,2161,141,482,197,2,822,55,512,403,2,972,1794,
8,DeKalb,Montgomery Elem,2446,172,482,246,3,903,77,587,442,3,1109,2012,
9,DeKalb,Silver Lake,4979,201,1027,383,1,1612,136,1074,785,2,1997,3609,
10,DeKalb,Skyland,2100,3,1,0,0,4,1,1,4,0,6,10,
11,DeKalb,Woodward,3193,54,214,127,0,395,79,527,470,2,1078,1473,
