index,County,Precinct,Registered Voters,Karen Handel (Rep)_Election Day Votes,Karen Handel (Rep)_Advanced Voting Votes,Karen Handel (Rep)_Absentee by Mail Votes,Karen Handel (Rep)_Provisional Votes,Karen Handel (Rep)_Choice Total,Lucy McBath (I) (Dem)_Election Day Votes,Lucy McBath (I) (Dem)_Advanced Voting Votes,Lucy McBath (I) (Dem)_Absentee by Mail Votes,Lucy McBath (I) (Dem)_Provisional Votes,Lucy McBath (I) (Dem)_Choice Total,Total,
0,DeKalb,Ashford Park Elem,2432,205,573,176,0,954,99,523,400,1,1023,1977,
1,DeKalb,Austin,2538,239,606,323,2,1170,65,527,438,1,1031,2201,
2,DeKalb,Ashford Dunwoody Rd,2966,201,636,236,4,1077,67,794,541,2,1404,2481,
3,DeKalb,Ashford Parkside,3664,188,619,303,1,1111,100,809,724,5,1638,2749,
4,DeKalb,Briarlake Elem,1752,136,227,161,0,524,79,462,412,1,954,1478,
5,DeKalb,Briarwood,2428,125,403,135,1,664,103,589,418,1,1111,1775,
6,DeKalb,Brookhaven,3444,248,705,237,1,1191,152,845,573,2,1572,2763,
7,DeKalb,Chamblee,2231,106,310,88,1,505,119,610,386,2,1117,1622,
8,DeKalb,Chesnut Elem,2363,105,237,77,2,421,181,710,363,0,1254,1675,
9,DeKalb,Cross Keys High,2260,103,268,146,1,518,107,502,467,2,1078,1596,
10,DeKalb,Chamblee 2,3137,135,540,219,0,894,99,923,571,0,1593,2487,
11,DeKalb,Doraville North,3065,133,192,122,3,450,253,709,419,4,1385,1835,
12,DeKalb,Doraville South,1255,69,105,58,1,233,93,291,201,2,587,820,
13,DeKalb,Dresden Elem,5141,191,460,228,3,882,304,1217,903,3,2427,3309,
14,DeKalb,Dunwoody,3003,110,442,195,1,748,120,792,543,7,1462,2210,
15,DeKalb,Dunwoody 2,2044,132,490,225,3,850,39,519,329,2,889,1739,
16,DeKalb,Dunwoody Library,2570,106,767,280,2,1155,37,605,414,1,1057,2212,
17,DeKalb,Embry Hills,1721,65,249,133,0,447,73,437,404,0,914,1361,
18,DeKalb,Evansdale Elem,3441,146,418,232,1,797,174,856,672,3,1705,2502,
19,DeKalb,Georgetown Sq,4155,155,572,203,5,935,200,1128,578,4,1910,2845,
20,DeKalb,Hawthorne Elem,3884,143,347,161,1,652,228,1106,673,4,2011,2663,
21,DeKalb,Henderson Mill,3104,115,387,249,1,752,139,824,657,1,1621,2373,
22,DeKalb,Huntley Hills Elem,3508,145,341,124,1,611,260,1051,509,4,1824,2435,
23,DeKalb,Kingsley Elem,2490,201,593,326,4,1124,80,452,463,5,1000,2124,
24,DeKalb,Kittredge Elem,2161,139,471,193,2,805,65,532,431,2,1030,1835,
25,DeKalb,Lakeside High,3216,170,422,298,2,892,142,923,649,0,1714,2606,
26,DeKalb,Livsey Elem,1350,71,228,112,0,411,56,375,280,0,711,1122,
27,DeKalb,Midvale Elem,2747,172,520,311,0,1003,88,648,566,3,1305,2308,
28,DeKalb,Mount Vernon East,2651,199,694,270,1,1164,85,600,395,3,1083,2247,
29,DeKalb,Mount Vernon West,2303,117,546,189,5,857,51,632,362,6,1051,1908,
30,DeKalb,Montgomery Elem,2446,164,461,227,3,855,93,622,482,3,1200,2055,
31,DeKalb,Midvale Road,1832,48,118,57,0,223,127,601,326,1,1055,1278,
32,DeKalb,North Peachtree,1916,80,178,89,2,349,120,450,280,4,854,1203,
33,DeKalb,Oakcliff Elem,2125,93,156,92,1,342,239,388,269,7,903,1245,
34,DeKalb,Peachtree Middle,3502,108,348,183,2,641,198,1051,545,4,1798,2439,
35,DeKalb,Pleasantdale Road,4538,76,205,96,1,378,404,1095,577,4,2080,2458,
36,DeKalb,Silver Lake,4979,197,1031,396,2,1626,144,1093,836,4,2077,3703,
37,DeKalb,Skyland,2100,148,382,158,3,691,100,522,335,4,961,1652,
38,DeKalb,Tucker Library,3506,133,589,276,1,999,87,994,659,2,1742,2741,
39,DeKalb,Tilly Mill Road,1552,119,353,151,1,624,63,353,249,0,665,1289,
40,DeKalb,Tucker,2932,63,338,202,0,603,103,842,557,6,1508,2111,
41,DeKalb,Warren Tech,1364,78,112,65,0,255,132,317,212,3,664,919,
42,DeKalb,Winters Chapel,1434,120,291,144,0,555,62,313,259,2,636,1191,
