index,County,Precinct,Registered Voters,Debra DeBerry (I) (Dem)_Election Day Votes,Debra DeBerry (I) (Dem)_Advanced Voting Votes,Debra DeBerry (I) (Dem)_Absentee by Mail Votes,Debra DeBerry (I) (Dem)_Provisional Votes,Debra DeBerry (I) (Dem)_Choice Total,Total,
0,DeKalb,Allgood Elem,2858,253,899,607,4,1763,1763,
1,DeKalb,Ashford Park Elem,2432,188,762,449,1,1400,1400,
2,DeKalb,Austin,2538,199,781,527,1,1508,1508,
3,DeKalb,Avondale,2906,297,988,771,1,2057,2057,
4,DeKalb,Austin Drive,2536,201,643,451,14,1309,1309,
5,DeKalb,Ashford Dunwoody Rd,2966,165,1071,600,5,1841,1841,
6,DeKalb,Ashford Parkside,3664,206,1061,826,6,2099,2099,
7,DeKalb,Avondale High,3151,131,1163,916,4,2214,2214,
8,DeKalb,Boulevard,4675,260,1867,1184,3,3314,3314,
9,DeKalb,Briar Vista Elem,2965,197,864,830,1,1892,1892,
10,DeKalb,Briarlake Elem,1752,133,538,454,1,1126,1126,
11,DeKalb,Briarwood,2428,169,793,460,3,1425,1425,
12,DeKalb,Brockett Elem,2752,173,846,569,6,1594,1594,
13,DeKalb,Briarcliff,3122,160,788,784,6,1738,1738,
14,DeKalb,Brockett,2681,231,773,529,6,1539,1539,
15,DeKalb,Brookhaven,3444,272,1211,653,2,2138,2138,
16,DeKalb,Browns Mill Elem,3829,313,1474,865,6,2658,2658,
17,DeKalb,Bouldercrest Road,2004,161,775,353,2,1291,1291,
18,DeKalb,Bethune Middle,4838,337,1373,950,19,2679,2679,
19,DeKalb,Burgess Elem,3493,193,1358,852,7,2410,2410,
20,DeKalb,Columbia Drive,2526,220,586,471,8,1285,1285,
21,DeKalb,Canby Lane Elem,2004,220,542,428,9,1199,1199,
22,DeKalb,Columbia Elem,1794,148,335,240,10,733,733,
23,DeKalb,Cedar Grove Elem,4097,301,1497,770,11,2579,2579,
24,DeKalb,Chamblee,2231,159,754,403,3,1319,1319,
25,DeKalb,Candler-Murphey Candler Elem,3712,295,1444,642,7,2388,2388,
26,DeKalb,Chapel Hill Elem,3349,261,1217,689,7,2174,2174,
27,DeKalb,Chesnut Elem,2363,224,816,381,1,1422,1422,
28,DeKalb,Clairemont West,3264,140,1202,1055,4,2401,2401,
29,DeKalb,Clairmont Road,3223,191,904,925,6,2026,2026,
30,DeKalb,Clarkston,3878,388,971,432,12,1803,1803,
31,DeKalb,Clifton,1731,125,534,326,6,991,991,
32,DeKalb,Columbia Middle,2178,156,605,343,6,1110,1110,
33,DeKalb,Coan Recreation Center,4230,204,1606,900,4,2714,2714,
34,DeKalb,Cross Keys High,2260,154,620,496,4,1274,1274,
35,DeKalb,Crossroads,2898,249,886,626,8,1769,1769,
36,DeKalb,Candler,3537,249,1017,593,13,1872,1872,
37,DeKalb,Cedar Grove Middle,1896,136,504,264,5,909,909,
38,DeKalb,Cedar Grove South,3962,270,1587,742,6,2605,2605,
39,DeKalb,Covington Hwy,995,53,102,62,6,223,223,
40,DeKalb,Covington,2376,135,704,366,5,1210,1210,
41,DeKalb,Clairemont East,3226,111,1146,1127,3,2387,2387,
42,DeKalb,Coralwood,3153,156,1051,935,2,2144,2144,
43,DeKalb,Candler Park,4018,119,1733,1238,2,3092,3092,
44,DeKalb,Clarkston Community Center,2495,227,621,380,10,1238,1238,
45,DeKalb,Chamblee 2,3137,161,1180,621,0,1962,1962,
46,DeKalb,Doraville North,3065,319,781,458,6,1564,1564,
47,DeKalb,Doraville South,1255,126,330,211,3,670,670,
48,DeKalb,Dresden Elem,5141,391,1411,951,6,2759,2759,
49,DeKalb,Decatur,1937,87,892,482,1,1462,1462,
50,DeKalb,Dunaire Elem,2268,190,634,428,7,1259,1259,
51,DeKalb,Dunwoody,3003,168,995,579,7,1749,1749,
52,DeKalb,Dunwoody 2,2044,106,686,380,2,1174,1174,
53,DeKalb,Druid Hills High,2725,136,665,639,2,1442,1442,
54,DeKalb,Dunwoody Library,2570,89,913,483,2,1487,1487,
55,DeKalb,East Lake,4139,235,1572,922,7,2736,2736,
56,DeKalb,Embry Hills,1721,105,517,420,0,1042,1042,
57,DeKalb,Evansdale Elem,3441,257,1055,720,4,2036,2036,
58,DeKalb,Emory South,3241,191,1050,888,6,2135,2135,
59,DeKalb,Emory Road,2290,126,645,433,7,1211,1211,
60,DeKalb,Fairington Elem,5455,447,1591,657,20,2715,2715,
61,DeKalb,Fernbank Elem,2125,123,700,706,1,1530,1530,
62,DeKalb,Flat Shoals Elem,2409,204,643,411,8,1266,1266,
63,DeKalb,Flat Shoals Parkway,3449,201,1309,743,5,2258,2258,
64,DeKalb,Flat Rock Elem,3142,258,1341,537,6,2142,2142,
65,DeKalb,Flat Shoals,2649,190,653,454,7,1304,1304,
66,DeKalb,Flakes Mill Fire Station,2103,121,757,424,7,1309,1309,
67,DeKalb,Flat Shoals Library,2788,245,736,427,3,1411,1411,
68,DeKalb,Freedom Middle,3227,296,873,546,10,1725,1725,
69,DeKalb,Glennwood,2715,86,878,808,6,1778,1778,
70,DeKalb,Glenhaven,1880,222,487,322,3,1034,1034,
71,DeKalb,Gresham Road,3601,221,1179,786,14,2200,2200,
72,DeKalb,Georgetown Sq,4155,266,1395,644,7,2312,2312,
73,DeKalb,Glenwood Road,2293,202,549,400,4,1155,1155,
74,DeKalb,Hambrick Elem,3776,309,1103,646,10,2068,2068,
75,DeKalb,Hawthorne Elem,3884,293,1223,676,7,2199,2199,
76,DeKalb,Henderson Mill,3104,187,986,695,2,1870,1870,
77,DeKalb,Huntley Hills Elem,3508,323,1189,539,5,2056,2056,
78,DeKalb,Hugh Howell,1773,157,565,349,1,1072,1072,
79,DeKalb,Harris-Narvie J Harris Elem,4031,182,1624,782,10,2598,2598,
80,DeKalb,Harris-Margaret Harris ED,1462,128,497,307,4,936,936,
81,DeKalb,Idlewood Elem,2472,228,751,431,7,1417,1417,
82,DeKalb,Indian Creek,2318,177,513,367,12,1069,1069,
83,DeKalb,Johnson Estates,1600,51,526,536,0,1113,1113,
84,DeKalb,Jolly Elem,3679,269,923,631,16,1839,1839,
85,DeKalb,Kelley Lake Elem,3015,277,768,574,3,1622,1622,
86,DeKalb,Kingsley Elem,2490,164,698,572,9,1443,1443,
87,DeKalb,Kelley Chapel Road,1337,126,465,314,1,906,906,
88,DeKalb,Knollwood,2546,263,669,467,11,1410,1410,
89,DeKalb,Kittredge Elem,2161,125,745,478,4,1352,1352,
90,DeKalb,Lakeside High,3216,213,1042,724,0,1979,1979,
91,DeKalb,Lavista Road,2223,143,590,630,3,1366,1366,
92,DeKalb,Lavista,3223,211,886,641,9,1747,1747,
93,DeKalb,Lithonia,1730,242,398,219,2,861,861,
94,DeKalb,Lin-Mary Lin Elem,3009,140,1096,887,8,2131,2131,
95,DeKalb,Lithonia High,3610,351,1084,534,13,1982,1982,
96,DeKalb,Livsey Elem,1350,81,482,311,0,874,874,
97,DeKalb,Miller-Eldridge L Miller Elem 3455,308,955,704,7,1974,1974,,
98,DeKalb,McNair High,4160,278,1423,943,5,2649,2649,
99,DeKalb,Marbut Elem,4234,326,1416,624,19,2385,2385,
100,DeKalb,McNair,2794,186,828,596,4,1614,1614,
101,DeKalb,McLendon,3607,188,1056,877,10,2131,2131,
102,DeKalb,McWilliams,2517,151,978,551,3,1683,1683,
103,DeKalb,Medlock,2208,147,711,666,2,1526,1526,
104,DeKalb,Midvale Elem,2747,161,845,653,3,1662,1662,
105,DeKalb,Miller Grove,4747,348,1399,676,15,2438,2438,
106,DeKalb,Montclair Elem,2194,222,657,246,8,1133,1133,
107,DeKalb,Montreal,2586,205,821,515,2,1543,1543,
108,DeKalb,Meadowview,3511,226,1000,761,11,1998,1998,
109,DeKalb,Memorial South,3138,252,728,375,19,1374,1374,
110,DeKalb,Midway,3139,182,749,624,7,1562,1562,
111,DeKalb,McNair Academy,1900,135,622,440,5,1202,1202,
112,DeKalb,Mount Vernon East,2651,172,879,471,2,1524,1524,
113,DeKalb,Mathis-Bob Mathis Elem,2789,223,950,698,4,1875,1875,
114,DeKalb,Mount Vernon West,2303,109,848,426,8,1391,1391,
115,DeKalb,Metropolitan,3405,181,1363,736,9,2289,2289,
116,DeKalb,Montgomery Elem,2446,167,810,533,5,1515,1515,
117,DeKalb,Miller Grove Road,2151,182,741,500,4,1427,1427,
118,DeKalb,Midvale Road,1832,151,642,325,2,1120,1120,
119,DeKalb,Miller Grove High,3470,283,979,449,10,1721,1721,
