index,County,Precinct,Registered Voters,"Edward """"Ted"""" Terry (Dem)_Election Day Votes","Edward """"Ted"""" Terry (Dem)_Advanced Voting Votes","Edward """"Ted"""" Terry (Dem)_Absentee by Mail Votes","Edward """"Ted"""" Terry (Dem)_Provisional Votes","Edward """"Ted"""" Terry (Dem)_Choice Total",Total,
0,DeKalb,Ashford Park Elem,2432,185,748,449,1,1383,1383,
1,DeKalb,Austin,2538,196,772,517,1,1486,1486,
2,DeKalb,Avondale,2906,298,975,758,1,2032,2032,
3,DeKalb,Ashford Dunwoody Rd,2966,164,1064,591,3,1822,1822,
4,DeKalb,Ashford Parkside,3664,205,1053,810,6,2074,2074,
5,DeKalb,Avondale High,3151,129,1143,904,4,2180,2180,
6,DeKalb,Boulevard,4675,258,1859,1179,3,3299,3299,
7,DeKalb,Briar Vista Elem,2965,197,857,821,1,1876,1876,
8,DeKalb,Briarwood,2428,169,794,464,1,1428,1428,
9,DeKalb,Briarcliff,3122,159,778,781,6,1724,1724,
10,DeKalb,Brookhaven,3444,265,1197,645,2,2109,2109,
11,DeKalb,Bouldercrest Road,2004,157,768,353,2,1280,1280,
12,DeKalb,Burgess Elem,3493,197,1347,856,7,2407,2407,
13,DeKalb,Cedar Grove Elem,4097,303,1488,762,7,2560,2560,
14,DeKalb,Chamblee,2231,156,753,404,2,1315,1315,
15,DeKalb,Chesnut Elem,2363,220,812,376,2,1410,1410,
16,DeKalb,Clairemont West,3264,141,1187,1054,3,2385,2385,
17,DeKalb,Clairmont Road,3223,188,900,914,5,2007,2007,
18,DeKalb,Clarkston,3878,364,893,405,7,1669,1669,
19,DeKalb,Clifton,1731,123,525,322,4,974,974,
20,DeKalb,Coan Recreation Center,4230,206,1589,896,3,2694,2694,
21,DeKalb,Cross Keys High,2260,160,620,493,3,1276,1276,
22,DeKalb,Candler,3537,9,91,74,1,175,175,
23,DeKalb,Cedar Grove Middle,1896,135,505,264,2,906,906,
24,DeKalb,Cedar Grove South,3962,271,1577,737,6,2591,2591,
25,DeKalb,Covington Hwy,995,54,100,58,2,214,214,
26,DeKalb,Covington,2376,132,690,362,5,1189,1189,
27,DeKalb,Clairemont East,3226,109,1142,1128,4,2383,2383,
28,DeKalb,Coralwood,3153,156,1036,931,2,2125,2125,
29,DeKalb,Candler Park,4018,120,1714,1239,1,3074,3074,
30,DeKalb,Clarkston Community Center,2495,215,597,363,7,1182,1182,
31,DeKalb,Chamblee 2,3137,166,1169,618,0,1953,1953,
