index,County,Precinct,Registered Voters,Karen Bennett (I) (Dem)_Election Day Votes,Karen Bennett (I) (Dem)_Advanced Voting Votes,Karen Bennett (I) (Dem)_Absentee by Mail Votes,Karen Bennett (I) (Dem)_Provisional Votes,Karen Bennett (I) (Dem)_Choice Total,Total,
0,DeKalb,Marbut Elem,4234,325,1416,627,10,2378,2378,
1,DeKalb,Princeton Elem,2376,165,847,446,0,1458,1458,
2,DeKalb,Panola Road,2884,19,138,82,0,239,239,
3,DeKalb,Redan Elem,3020,206,1156,581,3,1946,1946,
4,DeKalb,Redan-Trotti Library,3990,274,1270,742,14,2300,2300,
5,DeKalb,Redan Road,2932,229,903,507,1,1640,1640,
6,DeKalb,Stephenson Middle,3822,301,1402,779,0,2482,2482,
7,DeKalb,Wynbrooke Elem,3496,289,1325,819,6,2439,2439,
