index,County,Precinct,Registered Voters,Brett Duvall_Election Day Votes,Brett Duvall_Advanced Voting Votes,Brett Duvall_Absentee by Mail Votes,Brett Duvall_Provisional Votes,Brett Duvall_Choice Total,Gerald Evans_Election Day Votes,Gerald Evans_Advanced Voting Votes,Gerald Evans_Absentee by Mail Votes,Gerald Evans_Provisional Votes,Gerald Evans_Choice Total,Shoumic Khan_Election Day Votes,Shoumic Khan_Advanced Voting Votes,Shoumic Khan_Absentee by Mail Votes,Shoumic Khan_Provisional Votes,Shoumic Khan_Choice Total,Julie Newman_Election Day Votes,Julie Newman_Advanced Voting Votes,Julie Newman_Absentee by Mail Votes,Julie Newman_Provisional Votes,Julie Newman_Choice Total,Tom Owens_Election Day Votes,Tom Owens_Advanced Voting Votes,Tom Owens_Absentee by Mail Votes,Tom Owens_Provisional Votes,Tom Owens_Choice Total,Charnette Cason Rios_Election Day Votes,Charnette Cason Rios_Advanced Voting Votes,Charnette Cason Rios_Absentee by Mail Votes,Charnette Cason Rios_Provisional Votes,Charnette Cason Rios_Choice Total,SM Abu Zahed_Election Day Votes,SM Abu Zahed_Advanced Voting Votes,SM Abu Zahed_Absentee by Mail Votes,SM Abu Zahed_Provisional Votes,SM Abu Zahed_Choice Total,Total,
0,DeKalb,Doraville North,3065,45,99,102,1,247,69,165,99,0,333,50,212,81,0,343,85,118,111,2,316,34,56,39,1,130,38,89,36,0,163,33,78,25,0,136,1668,
1,DeKalb,Doraville South,1255,26,89,60,1,176,35,67,53,0,155,18,31,25,0,74,34,75,43,1,153,12,23,22,1,58,11,37,15,0,63,14,23,14,0,51,730,
