index,County,Precinct,Registered Voters,Harold Dennis (Rep)_Election Day Votes,Harold Dennis (Rep)_Advanced Voting Votes,Harold Dennis (Rep)_Absentee by Mail Votes,Harold Dennis (Rep)_Provisional Votes,Harold Dennis (Rep)_Choice Total,Melody M. Maddox (I) (Dem)_Election Day Votes,Melody M. Maddox (I) (Dem)_Advanced Voting Votes,Melody M. Maddox (I) (Dem)_Absentee by Mail Votes,Melody M. Maddox (I) (Dem)_Provisional Votes,Melody M. Maddox (I) (Dem)_Choice Total,Total,
0,DeKalb,Allgood Elem,2858,39,70,60,1,170,232,877,596,3,1708,1878,
1,DeKalb,Ashford Park Elem,2432,193,549,166,0,908,102,504,381,1,988,1896,
2,DeKalb,Austin,2538,217,575,287,2,1081,77,523,438,1,1039,2120,
3,DeKalb,Avondale,2906,200,206,125,0,531,235,922,760,1,1918,2449,
4,DeKalb,Austin Drive,2536,21,41,28,2,92,187,613,454,13,1267,1359,
5,DeKalb,Ashford Dunwoody Rd,2966,193,625,215,3,1036,69,779,532,3,1383,2419,
6,DeKalb,Ashford Parkside,3664,178,606,274,1,1059,104,796,715,5,1620,2679,
7,DeKalb,Avondale High,3151,56,145,85,0,286,110,1107,917,4,2138,2424,
8,DeKalb,Boulevard,4675,50,175,88,1,314,242,1812,1174,3,3231,3545,
9,DeKalb,Briar Vista Elem,2965,120,202,132,1,455,151,783,800,0,1734,2189,
10,DeKalb,Briarlake Elem,1752,128,222,152,0,502,79,449,400,1,929,1431,
11,DeKalb,Briarwood,2428,119,392,123,1,635,105,584,407,2,1098,1733,
12,DeKalb,Brockett Elem,2752,71,279,179,0,529,141,726,509,7,1383,1912,
13,DeKalb,Briarcliff,3122,141,323,264,4,732,110,649,725,3,1487,2219,
14,DeKalb,Brockett,2681,151,249,128,3,531,166,682,488,5,1341,1872,
15,DeKalb,Brookhaven,3444,238,674,216,1,1129,150,844,573,1,1568,2697,
16,DeKalb,Browns Mill Elem,3829,13,54,35,0,102,310,1436,877,6,2629,2731,
17,DeKalb,Bouldercrest Road,2004,10,25,15,0,50,154,764,362,2,1282,1332,
18,DeKalb,Bethune Middle,4838,31,61,28,3,123,317,1344,971,17,2649,2772,
19,DeKalb,Burgess Elem,3493,44,102,58,0,204,172,1316,871,8,2367,2571,
20,DeKalb,Columbia Drive,2526,20,16,12,0,48,212,583,472,8,1275,1323,
21,DeKalb,Canby Lane Elem,2004,18,26,19,1,64,214,527,429,8,1178,1242,
22,DeKalb,Columbia Elem,1794,4,12,5,1,22,144,322,247,12,725,747,
23,DeKalb,Cedar Grove Elem,4097,20,37,15,0,72,290,1476,773,10,2549,2621,
24,DeKalb,Chamblee,2231,104,307,89,0,500,117,596,368,3,1084,1584,
25,DeKalb,Candler-Murphey Candler Elem,3712,27,76,37,0,140,280,1405,636,7,2328,2468,
26,DeKalb,Chapel Hill Elem,3349,17,38,19,0,74,256,1195,700,6,2157,2231,
27,DeKalb,Chesnut Elem,2363,100,233,76,1,410,180,707,351,1,1239,1649,
28,DeKalb,Clairemont West,3264,72,181,147,1,401,114,1142,1060,3,2319,2720,
29,DeKalb,Clairmont Road,3223,80,176,173,1,430,162,824,880,5,1871,2301,
30,DeKalb,Clarkston,3878,44,95,34,0,173,363,920,420,13,1716,1889,
31,DeKalb,Clifton,1731,7,28,14,0,49,123,507,334,6,970,1019,
32,DeKalb,Columbia Middle,2178,11,28,5,1,45,146,593,347,6,1092,1137,
33,DeKalb,Coan Recreation Center,4230,33,165,89,1,288,193,1517,889,3,2602,2890,
34,DeKalb,Cross Keys High,2260,102,267,139,1,509,106,497,461,3,1067,1576,
35,DeKalb,Crossroads,2898,15,46,19,0,80,238,855,629,8,1730,1810,
36,DeKalb,Candler,3537,38,67,26,1,132,228,992,586,13,1819,1951,
37,DeKalb,Cedar Grove Middle,1896,11,14,7,0,32,127,494,265,5,891,923,
38,DeKalb,Cedar Grove South,3962,17,48,30,1,96,261,1560,738,5,2564,2660,
39,DeKalb,Covington Hwy,995,5,8,1,0,14,50,99,61,6,216,230,
40,DeKalb,Covington,2376,35,76,33,0,144,124,665,357,5,1151,1295,
41,DeKalb,Clairemont East,3226,56,207,134,3,400,79,1058,1113,1,2251,2651,
42,DeKalb,Coralwood,3153,105,371,223,3,702,106,881,908,2,1897,2599,
43,DeKalb,Candler Park,4018,56,188,111,0,355,93,1645,1261,2,3001,3356,
44,DeKalb,Clarkston Community Center,2495,58,101,51,1,211,195,569,377,8,1149,1360,
45,DeKalb,Chamblee 2,3137,126,528,203,0,857,99,910,558,0,1567,2424,
46,DeKalb,Doraville North,3065,124,189,115,4,432,257,702,412,5,1376,1808,
47,DeKalb,Doraville South,1255,62,91,55,1,209,98,292,200,3,593,802,
48,DeKalb,Dresden Elem,5141,185,458,209,3,855,300,1202,883,6,2391,3246,
49,DeKalb,Decatur,1937,34,89,45,0,168,71,856,482,1,1410,1578,
50,DeKalb,Dunaire Elem,2268,35,76,51,2,164,179,605,411,5,1200,1364,
51,DeKalb,Dunwoody,3003,106,428,180,1,715,118,789,520,7,1434,2149,
52,DeKalb,Dunwoody 2,2044,120,471,184,3,778,47,518,340,2,907,1685,
53,DeKalb,Druid Hills High,2725,76,123,118,1,318,113,616,628,2,1359,1677,
54,DeKalb,Dunwoody Library,2570,101,749,256,1,1107,38,591,393,1,1023,2130,
55,DeKalb,East Lake,4139,55,165,54,1,275,211,1500,918,5,2634,2909,
56,DeKalb,Embry Hills,1721,66,247,139,0,452,73,430,379,0,882,1334,
57,DeKalb,Evansdale Elem,3441,141,391,225,0,757,176,866,653,4,1699,2456,
58,DeKalb,Emory South,3241,109,236,146,0,491,140,944,863,6,1953,2444,
59,DeKalb,Emory Road,2290,35,54,63,0,152,112,612,412,8,1144,1296,
60,DeKalb,Fairington Elem,5455,22,35,31,0,88,431,1572,642,20,2665,2753,
61,DeKalb,Fernbank Elem,2125,77,143,118,1,339,93,643,727,2,1465,1804,
62,DeKalb,Flat Shoals Elem,2409,11,25,9,0,45,201,627,419,10,1257,1302,
63,DeKalb,Flat Shoals Parkway,3449,22,59,12,1,94,192,1292,760,3,2247,2341,
64,DeKalb,Flat Rock Elem,3142,19,46,21,0,86,246,1310,529,6,2091,2177,
65,DeKalb,Flat Shoals,2649,14,19,11,0,44,182,646,461,8,1297,1341,
66,DeKalb,Flakes Mill Fire Station,2103,9,27,21,0,57,115,741,424,8,1288,1345,
67,DeKalb,Flat Shoals Library,2788,11,20,8,1,40,237,725,425,2,1389,1429,
68,DeKalb,Freedom Middle,3227,48,61,54,0,163,271,838,537,10,1656,1819,
69,DeKalb,Glennwood,2715,44,118,90,0,252,69,850,790,6,1715,1967,
70,DeKalb,Glenhaven,1880,39,39,30,0,108,207,467,317,4,995,1103,
71,DeKalb,Gresham Road,3601,24,60,32,1,117,205,1147,778,15,2145,2262,
72,DeKalb,Georgetown Sq,4155,146,546,178,2,872,203,1129,581,5,1918,2790,
73,DeKalb,Glenwood Road,2293,19,38,34,0,91,197,526,384,4,1111,1202,
74,DeKalb,Hambrick Elem,3776,78,143,97,1,319,267,1038,598,9,1912,2231,
75,DeKalb,Hawthorne Elem,3884,136,325,158,2,621,225,1111,648,5,1989,2610,
76,DeKalb,Henderson Mill,3104,106,363,205,1,675,142,823,659,1,1625,2300,
77,DeKalb,Huntley Hills Elem,3508,143,335,112,1,591,258,1040,493,5,1796,2387,
