index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,DeKalb,Boulevard,4675,220,1650,998,1,2869,57,248,177,0,482,3351,
1,DeKalb,Briar Vista Elem,2965,0,4,5,0,9,0,0,1,0,1,10,
2,DeKalb,Burgess Elem,3493,164,1174,724,5,2067,45,197,146,0,388,2455,
3,DeKalb,Coan Recreation Center,4230,173,1351,749,1,2274,47,249,173,1,470,2744,
4,DeKalb,Candler Park,4018,112,1497,1112,1,2722,32,256,199,0,487,3209,
5,DeKalb,Druid Hills High,2725,12,77,42,1,132,9,13,10,0,32,164,
6,DeKalb,East Lake,4139,214,1385,760,3,2362,49,238,160,2,449,2811,
7,DeKalb,Emory South,3241,1,7,2,0,10,1,4,2,0,7,17,
8,DeKalb,Emory Road,2290,63,362,203,3,631,24,45,39,2,110,741,
9,DeKalb,Johnson Estates,1600,57,477,478,0,1012,21,130,121,0,272,1284,
10,DeKalb,Lin-Mary Lin Elem,3009,133,962,773,6,1874,37,175,171,0,383,2257,
11,DeKalb,Metropolitan,3405,148,1217,632,5,2002,40,163,120,0,323,2325,
12,DeKalb,Silver Lake,4979,0,3,0,0,3,0,0,0,0,0,3,
