index,County,Precinct,Registered Voters,Melanie Williams (Rep)_Election Day Votes,Melanie Williams (Rep)_Advanced Voting Votes,Melanie Williams (Rep)_Absentee by Mail Votes,Melanie Williams (Rep)_Provisional Votes,Melanie Williams (Rep)_Choice Total,Tonya P. Anderson (I) (Dem)_Election Day Votes,Tonya P. Anderson (I) (Dem)_Advanced Voting Votes,Tonya P. Anderson (I) (Dem)_Absentee by Mail Votes,Tonya P. Anderson (I) (Dem)_Provisional Votes,Tonya P. Anderson (I) (Dem)_Choice Total,Total,
0,DeKalb,Candler-Murphey Candler Elem,3712,33,78,46,0,157,277,1398,630,2,2307,2464,
1,DeKalb,Flat Rock Elem,3142,16,49,20,0,85,247,1312,526,5,2090,2175,
2,DeKalb,Lithonia,1730,23,34,18,1,76,226,380,217,0,823,899,
3,DeKalb,Lithonia High,3610,19,29,16,0,64,340,1067,531,11,1949,2013,
4,DeKalb,Miller Grove Road,2151,14,38,15,0,67,171,725,497,1,1394,1461,
5,DeKalb,Miller Grove High,3470,13,31,17,0,61,280,958,442,4,1684,1745,
6,DeKalb,Princeton Elem,2376,1,0,0,0,1,7,17,9,0,33,34,
7,DeKalb,Panola Road,2884,10,19,10,0,39,163,876,488,2,1529,1568,
8,DeKalb,Rock Chapel Road,4178,30,108,79,0,217,239,1573,779,4,2595,2812,
9,DeKalb,Stoneview Elem,1988,12,30,16,0,58,160,482,243,6,891,949,
10,DeKalb,Salem Middle,3519,19,40,16,0,75,213,1382,836,2,2433,2508,
11,DeKalb,Stonecrest Library,3720,24,58,19,1,102,200,1499,541,6,2246,2348,
12,DeKalb,Woodrow Road,3493,18,52,45,0,115,241,1076,463,6,1786,1901,
