index,County,Precinct,Registered Voters,Angela Stanton-King (Rep)_Election Day Votes,Angela Stanton-King (Rep)_Advanced Voting Votes,Angela Stanton-King (Rep)_Absentee by Mail Votes,Angela Stanton-King (Rep)_Provisional Votes,Angela Stanton-King (Rep)_Choice Total,Nikema Williams (Dem)_Election Day Votes,Nikema Williams (Dem)_Advanced Voting Votes,Nikema Williams (Dem)_Absentee by Mail Votes,Nikema Williams (Dem)_Provisional Votes,Nikema Williams (Dem)_Choice Total,Total,
0,DeKalb,Avondale High,3151,25,52,37,0,114,47,502,393,4,946,1060,
1,DeKalb,Boulevard,4675,62,180,98,1,341,233,1813,1195,2,3243,3584,
2,DeKalb,Briar Vista Elem,2965,134,225,148,1,508,136,766,798,0,1700,2208,
3,DeKalb,Briarcliff,3122,158,349,295,4,806,99,636,718,2,1455,2261,
4,DeKalb,Bouldercrest Road,2004,12,36,15,0,63,155,757,363,2,1277,1340,
5,DeKalb,Burgess Elem,3493,47,115,61,1,224,169,1306,877,6,2358,2582,
6,DeKalb,Columbia Elem,1794,5,22,9,0,36,145,318,242,9,714,750,
7,DeKalb,Cedar Grove Elem,4097,26,47,22,1,96,283,1471,773,8,2535,2631,
8,DeKalb,Clifton,1731,9,26,17,0,52,122,515,331,5,973,1025,
9,DeKalb,Columbia Middle,2178,21,28,9,1,59,139,587,341,6,1073,1132,
10,DeKalb,Coan Recreation Center,4230,38,178,93,0,309,186,1519,898,2,2605,2914,
11,DeKalb,Candler,3537,45,77,28,1,151,223,983,595,10,1811,1962,
12,DeKalb,Cedar Grove Middle,1896,15,21,10,0,46,124,489,263,2,878,924,
13,DeKalb,Cedar Grove South,3962,18,50,35,0,103,266,1560,742,6,2574,2677,
14,DeKalb,Clairemont East,3226,63,210,160,3,436,72,1062,1111,1,2246,2682,
15,DeKalb,Candler Park,4018,63,203,124,0,390,83,1641,1285,1,3010,3400,
16,DeKalb,Decatur,1937,38,99,46,0,183,66,849,505,0,1420,1603,
17,DeKalb,Druid Hills High,2725,92,123,129,1,345,101,610,634,2,1347,1692,
18,DeKalb,East Lake,4139,67,191,70,1,329,202,1486,921,6,2615,2944,
19,DeKalb,Emory South,3241,123,262,151,0,536,127,921,868,6,1922,2458,
20,DeKalb,Emory Road,2290,37,68,62,1,168,111,605,420,7,1143,1311,
21,DeKalb,Fernbank Elem,2125,88,161,138,2,389,80,626,723,1,1430,1819,
22,DeKalb,Flat Shoals Elem,2409,18,25,10,0,53,195,627,413,5,1240,1293,
23,DeKalb,Flat Shoals,2649,20,27,12,0,59,179,637,454,5,1275,1334,
24,DeKalb,Flat Shoals Library,2788,18,33,9,0,60,230,713,419,2,1364,1424,
25,DeKalb,Glennwood,2715,22,59,44,1,126,42,369,447,3,861,987,
26,DeKalb,Gresham Road,3601,28,67,40,2,137,201,1138,771,14,2124,2261,
27,DeKalb,Harris-Margaret Harris ED,1462,62,83,69,1,215,98,453,297,4,852,1067,
28,DeKalb,Johnson Estates,1600,59,170,129,0,358,28,467,514,0,1009,1367,
29,DeKalb,Kelley Lake Elem,3015,21,42,30,0,93,267,742,573,3,1585,1678,
30,DeKalb,Knollwood,2546,45,44,20,2,111,242,651,463,6,1362,1473,
31,DeKalb,Lavista Road,2223,104,191,183,1,479,91,511,600,3,1205,1684,
32,DeKalb,Lavista,3223,128,249,188,3,568,156,790,590,6,1542,2110,
33,DeKalb,Lin-Mary Lin Elem,3009,81,195,125,3,404,101,1010,888,4,2003,2407,
34,DeKalb,McNair High,4160,50,88,55,0,193,259,1402,967,6,2634,2827,
35,DeKalb,McNair,2794,23,47,29,2,101,171,809,595,6,1581,1682,
36,DeKalb,Montclair Elem,2194,72,101,29,0,202,177,605,233,4,1019,1221,
37,DeKalb,Meadowview,3511,31,43,37,2,113,203,977,749,11,1940,2053,
38,DeKalb,McNair Academy,1900,21,34,8,1,64,129,610,455,3,1197,1261,
39,DeKalb,Metropolitan,3405,31,126,53,2,212,168,1322,736,5,2231,2443,
40,DeKalb,Oakhurst,2398,50,99,58,0,207,93,1016,711,3,1823,2030,
41,DeKalb,Oak View Elem,5011,13,58,24,0,95,354,1697,747,10,2808,2903,
42,DeKalb,Ponce de Leon,3766,56,110,135,0,301,97,873,1534,12,2516,2817,
43,DeKalb,Piney Grove,2018,17,44,16,0,77,152,506,341,5,1004,1081,
44,DeKalb,Terry Mill,2808,23,55,21,1,100,219,943,599,4,1765,1865,
45,DeKalb,Toney Elem,1729,14,20,17,1,52,146,450,354,3,953,1005,
46,DeKalb,Wadsworth,3159,5,8,8,0,21,67,252,220,1,540,561,
47,DeKalb,Winnona Park,2020,31,119,67,0,217,38,810,570,1,1419,1636,
48,DeKalb,Woodward,3193,87,300,211,2,600,117,862,731,1,1711,2311,
