index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
83,DeKalb,Johnson Estates,1600,60,514,556,0,1130,20,101,73,0,194,1324,
84,DeKalb,Jolly Elem,3679,241,830,555,11,1637,64,159,131,3,357,1994,
85,DeKalb,Kelley Lake Elem,3015,222,620,417,2,1261,63,140,149,1,353,1614,
86,DeKalb,Kingsley Elem,2490,195,784,598,7,1584,71,193,141,2,407,1991,
87,DeKalb,Kelley Chapel Road,1337,94,374,229,0,697,34,87,84,1,206,903,
88,DeKalb,Knollwood,2546,209,558,354,9,1130,69,129,108,2,308,1438,
89,DeKalb,Kittredge Elem,2161,137,741,495,3,1376,52,210,102,1,365,1741,
90,DeKalb,Lakeside High,3216,245,1037,782,2,2066,54,231,127,0,412,2478,
91,DeKalb,Lavista Road,2223,152,568,643,2,1365,41,99,112,1,253,1618,
92,DeKalb,Lavista,3223,204,849,644,6,1703,74,158,94,2,328,2031,
93,DeKalb,Lithonia,1730,187,322,149,3,661,58,85,71,0,214,875,
94,DeKalb,Lin-Mary Lin Elem,3009,146,1016,894,6,2062,28,151,91,1,271,2333,
95,DeKalb,Lithonia High,3610,292,865,404,9,1570,66,222,131,4,423,1993,
96,DeKalb,Livsey Elem,1350,92,446,314,0,852,29,134,57,0,220,1072,
97,DeKalb,Miller-Eldridge L Miller Elem 3455,250,783,546,5,1584,64,189,170,2,425,2009,,
98,DeKalb,McNair High,4160,234,1242,771,2,2249,59,218,201,3,481,2730,
99,DeKalb,Marbut Elem,4234,276,1110,451,14,1851,51,302,159,6,518,2369,
100,DeKalb,McNair,2794,153,714,484,4,1355,38,128,115,2,283,1638,
101,DeKalb,McLendon,3607,180,954,831,9,1974,51,200,125,0,376,2350,
102,DeKalb,McWilliams,2517,109,790,422,2,1323,47,182,130,1,360,1683,
103,DeKalb,Medlock,2208,134,670,643,2,1449,56,105,102,0,263,1712,
104,DeKalb,Midvale Elem,2747,205,918,710,3,1836,49,226,131,0,406,2242,
105,DeKalb,Miller Grove,4747,288,1136,528,12,1964,60,257,162,2,481,2445,
106,DeKalb,Montclair Elem,2194,205,580,219,5,1009,41,111,38,0,190,1199,
107,DeKalb,Montreal,2586,187,753,473,3,1416,54,152,101,0,307,1723,
108,DeKalb,Meadowview,3511,185,788,558,11,1542,51,206,204,2,463,2005,
109,DeKalb,Memorial South,3138,210,605,288,15,1118,56,140,86,1,283,1401,
110,DeKalb,Midway,3139,149,649,511,6,1315,48,129,122,1,300,1615,
111,DeKalb,McNair Academy,1900,118,526,350,2,996,27,102,97,3,229,1225,
112,DeKalb,Mount Vernon East,2651,208,936,515,3,1662,55,263,110,1,429,2091,
113,DeKalb,Mathis-Bob Mathis Elem,2789,175,763,543,5,1486,46,189,148,0,383,1869,
114,DeKalb,Mount Vernon West,2303,123,847,433,7,1410,34,268,87,3,392,1802,
115,DeKalb,Metropolitan,3405,156,1266,685,9,2116,39,154,105,2,300,2416,
116,DeKalb,Montgomery Elem,2446,172,810,548,4,1534,64,223,112,2,401,1935,
117,DeKalb,Miller Grove Road,2151,145,587,365,3,1100,44,169,129,1,343,1443,
118,DeKalb,Midvale Road,1832,142,588,291,1,1022,31,112,68,1,212,1234,
119,DeKalb,Miller Grove High,3470,232,792,317,8,1349,59,190,124,1,374,1723,
120,DeKalb,North Decatur,2166,114,571,466,11,1162,27,98,81,2,208,1370,
121,DeKalb,North Hairston,2329,187,529,341,3,1060,53,133,85,6,277,1337,
122,DeKalb,Northlake,1509,141,431,401,1,974,39,89,76,0,204,1178,
123,DeKalb,North Peachtree,1916,155,491,268,4,918,42,119,69,1,231,1149,
124,DeKalb,Oak Grove Elem,2253,186,681,598,1,1466,49,148,109,0,306,1772,
125,DeKalb,Oakcliff Elem,2125,265,443,278,8,994,60,86,57,1,204,1198,
126,DeKalb,Oakhurst,2398,104,925,655,3,1687,33,155,99,0,287,1974,
127,DeKalb,Oak View Elem,5011,294,1369,598,15,2276,68,352,144,4,568,2844,
128,DeKalb,Peachcrest,2458,142,529,354,4,1029,49,115,105,1,270,1299,
129,DeKalb,Peachtree Middle,3502,232,1082,560,6,1880,62,249,128,2,441,2321,
130,DeKalb,Princeton Elem,2376,143,726,350,4,1223,31,146,102,1,280,1503,
131,DeKalb,Pine Lake,632,214,119,71,0,404,32,15,5,0,52,456,
132,DeKalb,Pleasantdale Road,4538,391,1046,521,6,1964,81,219,124,2,426,2390,
133,DeKalb,Ponce de Leon,3766,108,815,785,10,1718,42,132,110,3,287,2005,
134,DeKalb,Panola,1586,109,388,259,2,758,30,97,70,0,197,955,
135,DeKalb,Panola Way Elem,2252,169,482,243,18,912,42,106,68,3,219,1131,
136,DeKalb,Piney Grove,2018,142,447,272,6,867,32,86,66,1,185,1052,
137,DeKalb,Panola Road,2884,155,828,401,7,1391,40,191,151,1,383,1774,
138,DeKalb,Rainbow Elem,3768,206,986,643,5,1840,57,226,185,3,471,2311,
139,DeKalb,Redan Elem,3020,176,898,460,5,1539,41,257,129,3,430,1969,
140,DeKalb,Rehoboth,1813,122,471,556,2,1151,38,102,95,0,235,1386,
141,DeKalb,Rockbridge Elem,3595,263,793,405,10,1471,69,174,107,8,358,1829,
142,DeKalb,Rock Chapel Elem,2910,178,889,419,7,1493,40,230,86,0,356,1849,
143,DeKalb,Rowland Elem,3765,249,757,465,7,1478,57,189,120,2,368,1846,
144,DeKalb,Redan-Trotti Library,3990,209,1018,541,15,1783,60,251,183,5,499,2282,
145,DeKalb,Rockbridge Road,3965,244,1207,761,7,2219,73,288,203,1,565,2784,
146,DeKalb,Rowland Road,2080,141,486,335,7,969,53,119,92,1,265,1234,
147,DeKalb,Redan Road,2932,184,725,367,6,1282,50,176,143,3,372,1654,
148,DeKalb,Rock Chapel Road,4178,228,1350,644,15,2237,43,307,186,4,540,2777,
149,DeKalb,Redan Middle,2496,121,702,409,3,1235,38,181,115,2,336,1571,
150,DeKalb,Sagamore Hills Elem,2925,203,878,903,0,1984,80,186,143,0,409,2393,
151,DeKalb,Scott,2805,116,776,853,0,1745,34,124,121,0,279,2024,
152,DeKalb,Shaw-Robert Shaw Elem,2892,210,729,479,1,1419,58,156,117,2,333,1752,
153,DeKalb,Stone Mountain Elem,2338,146,462,555,3,1166,30,115,158,0,303,1469,
154,DeKalb,Silver Lake,4979,247,1566,904,4,2721,86,449,230,1,766,3487,
155,DeKalb,Skyland,2100,192,672,385,4,1253,48,169,80,2,299,1552,
156,DeKalb,Snapfinger Elem,1894,126,503,369,1,999,45,108,121,0,274,1273,
157,DeKalb,Smoke Rise,2108,159,676,498,0,1333,55,159,129,1,344,1677,
158,DeKalb,Stone Mtn Middle,3247,247,506,249,13,1015,68,124,97,3,292,1307,
159,DeKalb,Stone Mill Elem,3714,285,558,342,12,1197,59,132,126,2,319,1516,
160,DeKalb,Shadow Rock Elem,4347,243,1291,772,8,2314,58,285,245,3,591,2905,
161,DeKalb,Stoneview Elem,1988,132,410,183,7,732,39,94,66,3,202,934,
162,DeKalb,Salem Middle,3519,187,1101,646,7,1941,40,304,185,0,529,2470,
163,DeKalb,Shamrock,1600,139,463,491,2,1095,45,72,49,1,167,1262,
164,DeKalb,South Deshon,3470,210,1046,468,9,1733,60,239,153,4,456,2189,
165,DeKalb,Stone Mtn Champion,3098,272,652,384,8,1316,58,143,102,1,304,1620,
166,DeKalb,Stone Mtn,1711,159,314,264,2,739,44,107,60,1,212,951,
