index,County,Precinct,Registered Voters,Steve Bradshaw (I) (Dem)_Election Day Votes,Steve Bradshaw (I) (Dem)_Advanced Voting Votes,Steve Bradshaw (I) (Dem)_Absentee by Mail Votes,Steve Bradshaw (I) (Dem)_Provisional Votes,Steve Bradshaw (I) (Dem)_Choice Total,Total,
0,DeKalb,Allgood Elem,2858,252,894,611,4,1761,1761,
1,DeKalb,Avondale,2906,304,996,764,1,2065,2065,
2,DeKalb,Avondale High,3151,72,636,525,0,1233,1233,
3,DeKalb,Brockett,2681,187,648,426,3,1264,1264,
4,DeKalb,Clarkston,3878,393,967,424,8,1792,1792,
5,DeKalb,Covington Hwy,995,52,102,58,2,214,214,
6,DeKalb,Covington,2376,141,702,367,3,1213,1213,
7,DeKalb,Clarkston Community Center,2495,223,621,381,7,1232,1232,
8,DeKalb,Dunaire Elem,2268,191,636,426,5,1258,1258,
9,DeKalb,Freedom Middle,3227,295,872,547,8,1722,1722,
10,DeKalb,Glennwood,2715,1,29,18,0,48,48,
11,DeKalb,Hambrick Elem,3776,307,1102,645,8,2062,2062,
12,DeKalb,Idlewood Elem,2472,221,752,433,7,1413,1413,
13,DeKalb,Indian Creek,2318,177,513,365,11,1066,1066,
14,DeKalb,Jolly Elem,3679,266,919,637,11,1833,1833,
15,DeKalb,Miller-Eldridge L Miller Elem 3455,303,951,709,3,1966,1966,,
16,DeKalb,McLendon,3607,191,1047,880,7,2125,2125,
17,DeKalb,Montreal,2586,142,551,356,1,1050,1050,
18,DeKalb,Memorial South,3138,250,711,376,18,1355,1355,
19,DeKalb,North Decatur,2166,121,630,511,12,1274,1274,
20,DeKalb,North Hairston,2329,226,641,411,5,1283,1283,
21,DeKalb,Pine Lake,632,246,137,70,0,453,453,
22,DeKalb,Rockbridge Elem,3595,314,952,506,11,1783,1783,
23,DeKalb,Rockbridge Road,3965,302,1481,958,6,2747,2747,
24,DeKalb,Rowland Road,2080,186,590,405,7,1188,1188,
25,DeKalb,Shaw-Robert Shaw Elem,2892,257,856,577,2,1692,1692,
26,DeKalb,Stone Mountain Elem,2338,162,525,583,3,1273,1273,
27,DeKalb,Stone Mtn Middle,3247,289,613,321,12,1235,1235,
28,DeKalb,Stone Mill Elem,3714,343,676,451,9,1479,1479,
29,DeKalb,Shadow Rock Elem,4347,289,1565,1004,5,2863,2863,
30,DeKalb,Shamrock,1600,139,472,480,4,1095,1095,
31,DeKalb,South Deshon,3470,259,1275,627,8,2169,2169,
32,DeKalb,Stone Mtn Champion,3098,303,776,468,7,1554,1554,
33,DeKalb,Stone Mtn,1711,184,380,314,1,879,879,
34,DeKalb,Stephenson Middle,3822,299,1394,783,0,2476,2476,
35,DeKalb,South Hairston,3814,353,1089,626,9,2077,2077,
36,DeKalb,Stephenson High,3555,266,1195,796,5,2262,2262,
37,DeKalb,Valley Brook,1037,124,307,244,6,681,681,
38,DeKalb,Wynbrooke Elem,3496,283,1323,804,7,2417,2417,
