index,County,Precinct,Registered Voters,Yterenickia “YT” Bell_Election Day Votes,Yterenickia “YT” Bell_Advanced Voting Votes,Yterenickia “YT” Bell_Absentee by Mail Votes,Yterenickia “YT” Bell_Provisional Votes,Yterenickia “YT” Bell_Choice Total,Beverly H. Burks_Election Day Votes,Beverly H. Burks_Advanced Voting Votes,Beverly H. Burks_Absentee by Mail Votes,Beverly H. Burks_Provisional Votes,Beverly H. Burks_Choice Total,Total,
0,DeKalb,Clarkston,3878,188,449,171,1,809,214,532,275,6,1027,1836,
1,DeKalb,Clarkston Community Center,2495,98,295,153,1,547,149,361,263,4,777,1324,
