index,County,Precinct,Registered Voters,"Hubert Owens, Jr. (Rep)_Election Day Votes","Hubert Owens, Jr. (Rep)_Advanced Voting Votes","Hubert Owens, Jr. (Rep)_Absentee by Mail Votes","Hubert Owens, Jr. (Rep)_Provisional Votes","Hubert Owens, Jr. (Rep)_Choice Total",Dar'Shun Kendrick (I) (Dem)_Election Day Votes,Dar'Shun Kendrick (I) (Dem)_Advanced Voting Votes,Dar'Shun Kendrick (I) (Dem)_Absentee by Mail Votes,Dar'Shun Kendrick (I) (Dem)_Provisional Votes,Dar'Shun Kendrick (I) (Dem)_Choice Total,Total,
0,DeKalb,Princeton Elem,2376,1,0,0,0,1,7,17,9,0,33,34,
1,DeKalb,Rock Chapel Elem,2910,11,39,21,0,71,213,1103,509,5,1830,1901,
2,DeKalb,Rockbridge Road,3965,32,61,35,0,128,281,1464,960,5,2710,2838,
3,DeKalb,Rock Chapel Road,4178,32,112,78,1,223,236,1577,782,11,2606,2829,
4,DeKalb,South Deshon,3470,23,44,25,0,92,247,1258,622,5,2132,2224,
