index,County,Precinct,Registered Voters,Mary Margaret Oliver (I) (Dem)_Election Day Votes,Mary Margaret Oliver (I) (Dem)_Advanced Voting Votes,Mary Margaret Oliver (I) (Dem)_Absentee by Mail Votes,Mary Margaret Oliver (I) (Dem)_Provisional Votes,Mary Margaret Oliver (I) (Dem)_Choice Total,Total,
0,DeKalb,Briarcliff,3122,161,791,823,5,1780,1780,
1,DeKalb,Clairemont East,3226,113,1151,1178,3,2445,2445,
2,DeKalb,Dresden Elem,5141,302,1133,723,4,2162,2162,
3,DeKalb,Druid Hills High,2725,142,676,680,2,1500,1500,
4,DeKalb,Emory Road,2290,126,646,439,6,1217,1217,
5,DeKalb,Fernbank Elem,2125,0,0,1,0,1,1,
6,DeKalb,Hawthorne Elem,3884,292,1218,714,3,2227,2227,
7,DeKalb,Harris-Margaret Harris ED,1462,133,496,318,4,951,951,
8,DeKalb,Lakeside High,3216,88,352,199,0,639,639,
9,DeKalb,Lavista Road,2223,141,596,664,3,1404,1404,
10,DeKalb,Lavista,3223,211,878,677,7,1773,1773,
11,DeKalb,Montclair Elem,2194,220,655,245,4,1124,1124,
12,DeKalb,Oak Grove Elem,2253,166,690,619,0,1475,1475,
13,DeKalb,Sagamore Hills Elem,2925,199,932,878,0,2009,2009,
14,DeKalb,Woodward,3193,62,372,295,0,729,729,
