index,County,Precinct,Registered Voters,Pam Stephenson (I) (Dem)_Election Day Votes,Pam Stephenson (I) (Dem)_Advanced Voting Votes,Pam Stephenson (I) (Dem)_Absentee by Mail Votes,Pam Stephenson (I) (Dem)_Provisional Votes,Pam Stephenson (I) (Dem)_Choice Total,Total,
0,DeKalb,Browns Mill Elem,3829,314,1461,871,3,2649,2649,
1,DeKalb,Bethune Middle,4838,335,1365,970,10,2680,2680,
2,DeKalb,Canby Lane Elem,2004,218,535,434,3,1190,1190,
3,DeKalb,Kelley Chapel Road,1337,123,463,319,1,906,906,
4,DeKalb,Miller Grove Road,2151,184,739,497,1,1421,1421,
5,DeKalb,Rainbow Elem,3768,263,1190,835,5,2293,2293,
6,DeKalb,Salem Middle,3519,220,1382,817,3,2422,2422,
7,DeKalb,Snapfinger Road S,1960,156,716,431,0,1303,1303,
8,DeKalb,Wesley Chapel Library,2922,196,1098,703,5,2002,2002,
