County,Precinct,Registered Voters,Donna Coleman-Stribling (I) (Dem)_Election Day Votes,Donna Coleman-Stribling (I) (Dem)_Advanced Voting Votes,Donna Coleman-Stribling (I) (Dem)_Absentee by Mail Votes,Donna Coleman-Stribling (I) (Dem)_Provisional Votes,Donna Coleman-Stribling (I) (Dem)_Choice Total,Total,
DeKalb,Chamblee 2,3137,162,1164,616,0,1942,1942,
DeKalb,Doraville North,3065,315,766,456,7,1544,1544,
DeKalb,Doraville South,1255,124,330,209,2,665,665,
DeKalb,Dresden Elem,5141,391,1406,938,6,2741,2741,
DeKalb,Decatur,1937,85,885,476,1,1447,1447,
DeKalb,Dunaire Elem,2268,191,632,431,7,1261,1261,
DeKalb,Dunwoody,3003,166,974,568,7,1715,1715,
DeKalb,Dunwoody 2,2044,104,679,382,3,1168,1168,
DeKalb,Druid Hills High,2725,139,658,643,2,1442,1442,
DeKalb,Dunwoody Library,2570,88,907,479,2,1476,1476,
DeKalb,East Lake,4139,231,1549,918,7,2705,2705,
DeKalb,Embry Hills,1721,103,514,419,0,1036,1036,
DeKalb,Evansdale Elem,3441,257,1056,715,3,2031,2031,
DeKalb,Emory South,3241,190,1037,891,6,2124,2124,
DeKalb,Emory Road,2290,125,640,434,7,1206,1206,
DeKalb,Fairington Elem,5455,442,1579,653,19,2693,2693,
DeKalb,Fernbank Elem,2125,121,696,697,1,1515,1515,
DeKalb,Flat Shoals Elem,2409,200,633,413,10,1256,1256,
DeKalb,Flat Shoals Parkway,3449,200,1308,747,5,2260,2260,
DeKalb,Flat Rock Elem,3142,258,1329,540,6,2133,2133,
DeKalb,Flat Shoals,2649,189,649,455,7,1300,1300,
DeKalb,Flakes Mill Fire Station,2103,120,751,422,7,1300,1300,
DeKalb,Flat Shoals Library,2788,243,728,423,3,1397,1397,
DeKalb,Freedom Middle,3227,294,869,547,10,1720,1720,
DeKalb,Glennwood,2715,86,875,802,6,1769,1769,
DeKalb,Glenhaven,1880,222,482,318,4,1026,1026,
DeKalb,Gresham Road,3601,216,1156,771,14,2157,2157,
DeKalb,Georgetown Sq,4155,258,1372,641,7,2278,2278,
DeKalb,Glenwood Road,2293,199,542,400,4,1145,1145,
DeKalb,Hambrick Elem,3776,302,1098,642,10,2052,2052,
DeKalb,Hawthorne Elem,3884,291,1217,682,7,2197,2197,
DeKalb,Henderson Mill,3104,182,970,692,2,1846,1846,
DeKalb,Huntley Hills Elem,3508,319,1179,531,5,2034,2034,
DeKalb,Hugh Howell,1773,153,559,346,1,1059,1059,
DeKalb,Harris-Narvie J Harris Elem,4031,178,1603,778,10,2569,2569,
DeKalb,Harris-Margaret Harris ED,1462,129,492,306,4,931,931,
DeKalb,Idlewood Elem,2472,226,740,432,7,1405,1405,
DeKalb,Indian Creek,2318,173,509,367,13,1062,1062,
DeKalb,Johnson Estates,1600,49,520,526,0,1095,1095,
DeKalb,Jolly Elem,3679,269,923,632,15,1839,1839,
DeKalb,Kelley Lake Elem,3015,276,754,571,3,1604,1604,
DeKalb,Kingsley Elem,2490,167,692,562,9,1430,1430,
DeKalb,Kelley Chapel Road,1337,123,458,317,1,899,899,
DeKalb,Knollwood,2546,257,658,464,10,1389,1389,
DeKalb,Kittredge Elem,2161,124,738,473,4,1339,1339,
DeKalb,Lakeside High,3216,209,1038,712,0,1959,1959,
DeKalb,Lavista Road,2223,141,583,623,3,1350,1350,
DeKalb,Lavista,3223,208,876,633,8,1725,1725,
DeKalb,Lithonia,1730,236,391,219,2,848,848,
DeKalb,Lin-Mary Lin Elem,3009,139,1096,882,8,2125,2125,
DeKalb,Lithonia High,3610,348,1082,536,13,1979,1979,
DeKalb,Livsey Elem,1350,82,472,298,0,852,852,
DeKalb,Miller-Eldridge L Miller Elem 3455,305,945,708,7,1965,1965,,
DeKalb,McNair High,4160,273,1403,944,6,2626,2626,
DeKalb,Marbut Elem,4234,323,1405,624,19,2371,2371,
DeKalb,McNair,2794,181,821,601,5,1608,1608,
DeKalb,McLendon,3607,187,1047,878,10,2122,2122,
DeKalb,McWilliams,2517,150,974,551,4,1679,1679,
DeKalb,Medlock,2208,144,703,662,2,1511,1511,
DeKalb,Midvale Elem,2747,159,844,647,3,1653,1653,
DeKalb,Miller Grove,4747,341,1386,679,15,2421,2421,
DeKalb,Montclair Elem,2194,219,654,243,8,1124,1124,
DeKalb,Montreal,2586,198,822,512,2,1534,1534,
DeKalb,Meadowview,3511,226,988,759,11,1984,1984,
DeKalb,Memorial South,3138,247,703,381,19,1350,1350,
DeKalb,Midway,3139,180,746,626,7,1559,1559,
DeKalb,McNair Academy,1900,131,611,434,5,1181,1181,
DeKalb,Mount Vernon East,2651,173,882,471,3,1529,1529,
DeKalb,Mathis-Bob Mathis Elem,2789,223,936,697,5,1861,1861,
DeKalb,Mount Vernon West,2303,107,843,422,8,1380,1380,
DeKalb,Metropolitan,3405,177,1351,734,10,2272,2272,
DeKalb,Montgomery Elem,2446,165,807,526,5,1503,1503,
DeKalb,Miller Grove Road,2151,182,738,495,5,1420,1420,
DeKalb,Midvale Road,1832,151,634,324,2,1111,1111,
DeKalb,Miller Grove High,3470,280,976,450,10,1716,1716,
DeKalb,North Decatur,2166,121,631,520,12,1284,1284,
DeKalb,North Hairston,2329,228,639,413,8,1288,1288,
DeKalb,Northlake,1509,124,453,403,1,981,981,
DeKalb,North Peachtree,1916,158,523,299,5,985,985,
DeKalb,Oak Grove Elem,2253,168,688,588,0,1444,1444,
DeKalb,Oakcliff Elem,2125,270,459,291,9,1029,1029,
DeKalb,Oakhurst,2398,110,1045,695,2,1852,1852,
DeKalb,Oak View Elem,5011,357,1714,741,18,2830,2830,
DeKalb,Peachcrest,2458,177,619,436,4,1236,1236,
DeKalb,Peachtree Middle,3502,243,1189,596,5,2033,2033,
DeKalb,Princeton Elem,2376,169,863,455,5,1492,1492,
DeKalb,Pine Lake,632,243,136,69,0,448,448,
DeKalb,Pleasantdale Road,4538,427,1168,594,10,2199,2199,
DeKalb,Ponce de Leon,3766,116,896,818,12,1842,1842,
DeKalb,Panola,1586,136,475,321,2,934,934,
DeKalb,Panola Way Elem,2252,202,581,315,21,1119,1119,
DeKalb,Piney Grove,2018,163,520,337,7,1027,1027,
DeKalb,Panola Road,2884,192,1023,567,8,1790,1790,
DeKalb,Rainbow Elem,3768,261,1183,834,8,2286,2286,
DeKalb,Redan Elem,3020,204,1144,584,8,1940,1940,
DeKalb,Rehoboth,1813,98,480,549,3,1130,1130,
DeKalb,Rockbridge Elem,3595,315,940,508,17,1780,1780,
DeKalb,Rock Chapel Elem,2910,211,1113,515,7,1846,1846,
DeKalb,Rowland Elem,3765,292,908,579,8,1787,1787,
DeKalb,Redan-Trotti Library,3990,273,1264,730,21,2288,2288,
DeKalb,Rockbridge Road,3965,300,1470,967,8,2745,2745,
DeKalb,Rowland Road,2080,184,583,414,8,1189,1189,
DeKalb,Redan Road,2932,226,895,496,11,1628,1628,
DeKalb,Rock Chapel Road,4178,255,1607,805,18,2685,2685,
DeKalb,Redan Middle,2496,153,862,517,5,1537,1537,
DeKalb,Sagamore Hills Elem,2925,194,918,832,0,1944,1944,
DeKalb,Scott,2805,120,820,870,1,1811,1811,
DeKalb,Shaw-Robert Shaw Elem,2892,251,850,576,3,1680,1680,
DeKalb,Stone Mountain Elem,2338,157,517,581,3,1258,1258,
DeKalb,Silver Lake,4979,232,1531,921,2,2686,2686,
DeKalb,Skyland,2100,177,687,378,6,1248,1248,
DeKalb,Snapfinger Elem,1894,160,604,503,0,1267,1267,
DeKalb,Smoke Rise,2108,144,662,495,1,1302,1302,
DeKalb,Stone Mtn Middle,3247,290,611,321,15,1237,1237,
DeKalb,Stone Mill Elem,3714,341,672,453,15,1481,1481,
DeKalb,Shadow Rock Elem,4347,290,1557,1017,12,2876,2876,
DeKalb,Stoneview Elem,1988,164,484,247,10,905,905,
DeKalb,Salem Middle,3519,220,1394,834,6,2454,2454,
DeKalb,Shamrock,1600,137,465,475,4,1081,1081,
DeKalb,South Deshon,3470,256,1269,633,11,2169,2169,
DeKalb,Stone Mtn Champion,3098,301,776,465,10,1552,1552,
DeKalb,Stone Mtn,1711,183,369,309,2,863,863,
DeKalb,Snapfinger Road N,2705,238,677,464,6,1385,1385,
DeKalb,Snapfinger Road S,1960,157,713,430,3,1303,1303,
DeKalb,Stephenson Middle,3822,297,1391,779,2,2469,2469,
DeKalb,South Hairston,3814,358,1089,621,12,2080,2080,
DeKalb,Stephenson High,3555,260,1185,803,7,2255,2255,
DeKalb,Stonecrest Library,3720,217,1529,537,13,2296,2296,
DeKalb,Snapfinger Road,4872,216,2207,1070,9,3502,3502,
DeKalb,Terry Mill,2808,223,957,590,5,1775,1775,
DeKalb,Toney Elem,1729,152,455,344,6,957,957,
DeKalb,Tucker Library,3506,139,1209,722,4,2074,2074,
DeKalb,Tilly Mill Road,1552,116,493,289,0,898,898,
DeKalb,Tucker,2932,135,955,606,7,1703,1703,
DeKalb,Valley Brook,1037,122,306,245,6,679,679,
DeKalb,Wadsworth,3159,277,864,640,11,1792,1792,
DeKalb,Wesley Chapel Library,2922,193,1110,706,7,2016,2016,
DeKalb,Woodrow Road,3493,248,1095,490,12,1845,1845,
DeKalb,Winnona Park,2020,51,874,570,2,1497,1497,
DeKalb,Woodridge Elem,3851,323,1028,748,12,2111,2111,
DeKalb,Warren Tech,1364,169,360,215,4,748,748,
DeKalb,Woodward,3193,172,985,803,1,1961,1961,
DeKalb,White Oak,2951,315,728,423,7,1473,1473,
DeKalb,Winters Chapel,1434,103,432,316,2,853,853,
DeKalb,Wynbrooke Elem,3496,288,1312,809,13,2422,2422,
DeKalb,Young Road,1951,108,766,425,8,1307,1307,
