index,County,Precinct,Registered Voters,Doreen Carter (I) (Dem)_Election Day Votes,Doreen Carter (I) (Dem)_Advanced Voting Votes,Doreen Carter (I) (Dem)_Absentee by Mail Votes,Doreen Carter (I) (Dem)_Provisional Votes,Doreen Carter (I) (Dem)_Choice Total,Total,
0,DeKalb,Lithonia,1730,237,394,227,0,858,858,
1,DeKalb,Lithonia High,3610,347,1084,534,10,1975,1975,
2,DeKalb,McWilliams,2517,152,979,558,3,1692,1692,
3,DeKalb,Miller Grove,4747,345,1387,691,4,2427,2427,
4,DeKalb,Miller Grove High,3470,281,976,440,4,1701,1701,
5,DeKalb,Panola Road,2884,171,884,483,2,1540,1540,
6,DeKalb,Stoneview Elem,1988,166,495,242,4,907,907,
