index,County,Precinct,Registered Voters,Dean Burke (I) (Rep)_Election Day Votes,Dean Burke (I) (Rep)_Advanced Voting Votes,Dean Burke (I) (Rep)_Absentee by Mail Votes,Dean Burke (I) (Rep)_Provisional Votes,Dean Burke (I) (Rep)_Choice Total,Total,
0,Grady,Blowing Cave,916,187,311,53,5,556,556,
1,Grady,Cairo 4th District,2532,147,464,205,1,817,817,
2,Grady,Cairo 5th District,2606,234,814,252,3,1303,1303,
3,Grady,Duncanville,470,80,151,53,0,284,284,
4,Grady,Higdon,854,210,181,103,0,494,494,
5,Grady,Limesink,320,63,124,32,0,219,219,
6,Grady,Midway,1412,208,464,160,2,834,834,
7,Grady,Pine Park,1003,197,285,82,2,566,566,
8,Grady,Ragan,475,102,127,64,0,293,293,
9,Grady,Spence,758,218,197,79,0,494,494,
10,Grady,Spring Hill,561,123,209,62,0,394,394,
11,Grady,Whigham,1226,236,351,114,0,701,701,
12,Grady,Woodland,2309,323,956,228,0,1507,1507,
