index,County,Precinct,Registered Voters,June Knight (I) (Rep)_Election Day Votes,June Knight (I) (Rep)_Advanced Voting Votes,June Knight (I) (Rep)_Absentee by Mail Votes,June Knight (I) (Rep)_Provisional Votes,June Knight (I) (Rep)_Choice Total,Ralph Harris (Dem)_Election Day Votes,Ralph Harris (Dem)_Advanced Voting Votes,Ralph Harris (Dem)_Absentee by Mail Votes,Ralph Harris (Dem)_Provisional Votes,Ralph Harris (Dem)_Choice Total,Total,
0,Grady,Blowing Cave,916,176,290,45,1,512,25,51,22,4,102,614,
1,Grady,Higdon,854,17,28,12,0,57,0,5,12,0,17,74,
2,Grady,Limesink,320,58,111,25,0,194,6,18,19,0,43,237,
3,Grady,Ragan,475,10,14,10,0,34,1,11,8,0,20,54,
4,Grady,Spring Hill,561,119,211,54,0,384,7,14,17,0,38,422,
5,Grady,Whigham,1226,212,319,97,0,628,51,95,46,0,192,820,
