index,County,Precinct,Registered Voters,Harry Young (I) (Rep)_Election Day Votes,Harry Young (I) (Rep)_Advanced Voting Votes,Harry Young (I) (Rep)_Absentee by Mail Votes,Harry Young (I) (Rep)_Provisional Votes,Harry Young (I) (Rep)_Choice Total,"Donald """"Dickie"""" Thomas (Dem)_Election Day Votes","Donald """"Dickie"""" Thomas (Dem)_Advanced Voting Votes","Donald """"Dickie"""" Thomas (Dem)_Absentee by Mail Votes","Donald """"Dickie"""" Thomas (Dem)_Provisional Votes","Donald """"Dickie"""" Thomas (Dem)_Choice Total",Total,
0,Grady,Blowing Cave,916,137,257,48,0,442,61,83,19,5,168,610,
1,Grady,Cairo 4th District,2532,43,190,113,0,346,201,683,320,3,1207,1553,
2,Grady,Cairo 5th District,2606,143,575,197,1,916,134,460,168,3,765,1681,
3,Grady,Duncanville,470,74,124,40,0,238,15,53,48,0,116,354,
4,Grady,Higdon,854,165,151,89,0,405,71,64,69,0,204,609,
5,Grady,Limesink,320,52,107,22,0,181,11,22,20,0,53,234,
6,Grady,Midway,1412,171,378,135,2,686,64,147,76,0,287,973,
7,Grady,Pine Park,1003,142,208,64,2,416,74,134,44,0,252,668,
8,Grady,Ragan,475,94,109,54,0,257,20,46,35,0,101,358,
9,Grady,Spence,758,193,155,74,0,422,32,51,21,0,104,526,
10,Grady,Spring Hill,561,110,181,51,0,342,15,43,21,0,79,421,
11,Grady,Whigham,1226,182,283,90,0,555,74,128,50,0,252,807,
12,Grady,Woodland,2309,267,805,205,0,1277,80,217,82,0,379,1656,
