index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Grady,Blowing Cave,916,171,287,40,2,500,26,52,28,4,110,5,3,0,0,8,618,
1,Grady,Cairo 4th District,2532,48,193,80,0,321,191,680,340,3,1214,3,8,5,0,16,1551,
2,Grady,Cairo 5th District,2606,161,644,185,1,991,112,401,178,3,694,7,16,4,0,27,1712,
3,Grady,Duncanville,470,81,126,32,0,239,11,50,52,0,113,0,3,2,0,5,357,
4,Grady,Higdon,854,175,156,83,0,414,59,63,75,0,197,4,1,0,0,5,616,
5,Grady,Limesink,320,60,111,25,0,196,2,20,19,0,41,2,0,1,0,3,240,
6,Grady,Midway,1412,199,424,128,2,753,37,108,77,0,222,4,6,2,0,12,987,
7,Grady,Pine Park,1003,156,237,57,2,452,58,102,45,0,205,5,5,3,0,13,670,
8,Grady,Ragan,475,102,110,45,0,257,15,46,41,0,102,2,1,1,0,4,363,
9,Grady,Spence,758,210,189,66,0,465,16,22,24,0,62,2,3,2,0,7,534,
10,Grady,Spring Hill,561,117,205,46,0,368,6,22,26,0,54,3,2,2,0,7,429,
11,Grady,Whigham,1226,218,311,91,0,620,44,99,45,0,188,4,4,3,0,11,819,
12,Grady,Woodland,2309,304,894,195,0,1393,43,132,88,0,263,10,14,4,0,28,1684,
