index,County,Precinct,Registered Voters,Darlene Taylor (I) (Rep)_Election Day Votes,Darlene Taylor (I) (Rep)_Advanced Voting Votes,Darlene Taylor (I) (Rep)_Absentee by Mail Votes,Darlene Taylor (I) (Rep)_Provisional Votes,Darlene Taylor (I) (Rep)_Choice Total,Booker T. Gainor (Dem)_Election Day Votes,Booker T. Gainor (Dem)_Advanced Voting Votes,Booker T. Gainor (Dem)_Absentee by Mail Votes,Booker T. Gainor (Dem)_Provisional Votes,Booker T. Gainor (Dem)_Choice Total,Total,
0,Grady,Blowing Cave,916,169,279,45,2,495,30,65,23,3,121,616,
1,Grady,Cairo 4th District,2532,40,177,82,0,299,204,703,353,3,1263,1562,
2,Grady,Cairo 5th District,2606,135,634,192,1,962,146,420,182,3,751,1713,
3,Grady,Duncanville,470,79,128,36,0,243,12,50,52,0,114,357,
4,Grady,Higdon,854,169,159,88,0,416,66,60,70,0,196,612,
5,Grady,Limesink,320,57,107,23,0,187,8,22,19,0,49,236,
6,Grady,Midway,1412,194,431,137,2,764,44,106,77,0,227,991,
7,Grady,Pine Park,1003,155,229,61,2,447,63,114,47,0,224,671,
8,Grady,Ragan,475,100,107,45,0,252,18,48,42,0,108,360,
9,Grady,Spence,758,203,188,71,0,462,22,22,22,0,66,528,
10,Grady,Spring Hill,561,113,206,54,0,373,13,20,19,0,52,425,
11,Grady,Whigham,1226,213,314,95,0,622,51,101,50,0,202,824,
12,Grady,Woodland,2309,289,886,219,0,1394,59,152,76,0,287,1681,
