index,County,Precinct,Registered Voters,Barbara Darus (I) (Rep)_Election Day Votes,Barbara Darus (I) (Rep)_Advanced Voting Votes,Barbara Darus (I) (Rep)_Absentee by Mail Votes,Barbara Darus (I) (Rep)_Provisional Votes,Barbara Darus (I) (Rep)_Choice Total,Total,
0,Grady,Blowing Cave,916,192,308,55,5,560,560,
1,Grady,Cairo 4th District,2532,158,514,254,1,927,927,
2,Grady,Cairo 5th District,2606,237,841,276,3,1357,1357,
3,Grady,Duncanville,470,82,156,58,0,296,296,
4,Grady,Higdon,854,211,185,105,0,501,501,
5,Grady,Limesink,320,64,125,34,0,223,223,
6,Grady,Midway,1412,214,475,167,2,858,858,
7,Grady,Pine Park,1003,199,291,86,1,577,577,
8,Grady,Ragan,475,105,126,68,0,299,299,
9,Grady,Spence,758,222,195,79,0,496,496,
10,Grady,Spring Hill,561,124,211,63,0,398,398,
11,Grady,Whigham,1226,242,353,121,0,716,716,
12,Grady,Woodland,2309,330,971,241,0,1542,1542,
