County,Josh Bonner (I) (Rep)_Election Day Votes,Josh Bonner (I) (Rep)_Absentee by Mail Votes,Josh Bonner (I) (Rep)_Advanced Voting Votes,Josh Bonner (I) (Rep)_Provisional Votes,Josh Bonner (I) (Rep)_TOTAL VOTES,Fred Rovner (Dem)_Election Day Votes,Fred Rovner (Dem)_Absentee by Mail Votes,Fred Rovner (Dem)_Advanced Voting Votes,Fred Rovner (Dem)_Provisional Votes,Fred Rovner (Dem)_TOTAL VOTES,Total,
Coweta,2296,1137,3030,0,6463,274,658,599,1,1532,7995,
Fayette,3576,3687,12731,0,19994,904,2873,4443,0,8220,28214,
