County,Will Wade (Rep)_Election Day Votes,Will Wade (Rep)_Absentee by Mail Votes,Will Wade (Rep)_Advanced Voting Votes,Will Wade (Rep)_Provisional Votes,Will Wade (Rep)_TOTAL VOTES,Sharon L. Ravert (Dem)_Election Day Votes,Sharon L. Ravert (Dem)_Absentee by Mail Votes,Sharon L. Ravert (Dem)_Advanced Voting Votes,Sharon L. Ravert (Dem)_Provisional Votes,Sharon L. Ravert (Dem)_TOTAL VOTES,Total,
Dawson,1953,1707,8201,2,11863,206,675,856,1,1738,13601,
Forsyth,279,269,1564,0,2112,48,167,230,0,445,2557,
Lumpkin,2059,2099,8176,0,12334,286,1119,1455,0,2860,15194,
