County,Penny Houston (I) (Rep)_Election Day Votes,Penny Houston (I) (Rep)_Absentee by Mail Votes,Penny Houston (I) (Rep)_Advanced Voting Votes,Penny Houston (I) (Rep)_Provisional Votes,Penny Houston (I) (Rep)_TOTAL VOTES,Andre Oliver (Dem)_Election Day Votes,Andre Oliver (Dem)_Absentee by Mail Votes,Andre Oliver (Dem)_Advanced Voting Votes,Andre Oliver (Dem)_Provisional Votes,Andre Oliver (Dem)_TOTAL VOTES,Total,
Berrien,1878,834,3882,9,6603,270,264,456,0,990,7593,
Cook,1185,532,3369,0,5086,466,459,895,0,1820,6906,
Tift,764,513,2652,8,3937,433,569,1161,6,2169,6106,
