County,Kim Schofield (I) (Dem)_Election Day Votes,Kim Schofield (I) (Dem)_Absentee by Mail Votes,Kim Schofield (I) (Dem)_Advanced Voting Votes,Kim Schofield (I) (Dem)_Provisional Votes,Kim Schofield (I) (Dem)_TOTAL VOTES,Total,
Clayton,1330,1290,2275,26,4921,4921,
Fulton,2259,3739,8110,83,14191,14191,
