County,Wes Cantrell (I) (Rep)_Election Day Votes,Wes Cantrell (I) (Rep)_Absentee by Mail Votes,Wes Cantrell (I) (Rep)_Advanced Voting Votes,Wes Cantrell (I) (Rep)_Provisional Votes,Wes Cantrell (I) (Rep)_TOTAL VOTES,Charles Ravenscraft (Dem)_Election Day Votes,Charles Ravenscraft (Dem)_Absentee by Mail Votes,Charles Ravenscraft (Dem)_Advanced Voting Votes,Charles Ravenscraft (Dem)_Provisional Votes,Charles Ravenscraft (Dem)_TOTAL VOTES,Total,
Cherokee,4631,4213,13267,2,22113,628,2129,2258,0,5015,27128,
Forsyth,1093,1652,5075,2,7822,546,1967,2702,2,5217,13039,
Fulton,382,367,1212,2,1963,69,285,376,0,730,2693,
