County,Patty Bentley (I) (Dem)_Election Day Votes,Patty Bentley (I) (Dem)_Absentee by Mail Votes,Patty Bentley (I) (Dem)_Advanced Voting Votes,Patty Bentley (I) (Dem)_Provisional Votes,Patty Bentley (I) (Dem)_TOTAL VOTES,Total,
Dooly,753,589,1762,2,3106,3106,
Macon,859,743,1965,0,3567,3567,
Peach,658,1133,2389,4,4184,4184,
Taylor,486,617,1691,7,2801,2801,
