County,Jan Tankersley (I) (Rep)_Election Day Votes,Jan Tankersley (I) (Rep)_Absentee by Mail Votes,Jan Tankersley (I) (Rep)_Advanced Voting Votes,Jan Tankersley (I) (Rep)_Provisional Votes,Jan Tankersley (I) (Rep)_TOTAL VOTES,Total,
Bryan,1094,512,2715,2,4323,4323,
Bulloch,5192,2416,7165,9,14782,14782,
