County,Lynn Smith (I) (Rep)_Election Day Votes,Lynn Smith (I) (Rep)_Absentee by Mail Votes,Lynn Smith (I) (Rep)_Advanced Voting Votes,Lynn Smith (I) (Rep)_Provisional Votes,Lynn Smith (I) (Rep)_TOTAL VOTES,Total,
Carroll,567,159,594,0,1320,1320,
Coweta,8113,5588,9717,4,23422,23422,
