County,Trey Rhodes (I) (Rep)_Election Day Votes,Trey Rhodes (I) (Rep)_Absentee by Mail Votes,Trey Rhodes (I) (Rep)_Advanced Voting Votes,Trey Rhodes (I) (Rep)_Provisional Votes,Trey Rhodes (I) (Rep)_TOTAL VOTES,Total,
Greene,1226,2017,6069,6,9318,9318,
Oglethorpe,1251,1225,4010,2,6488,6488,
Putnam,1150,1523,3797,0,6470,6470,
Taliaferro,139,103,269,0,511,511,
Wilkes,671,464,1319,6,2460,2460,
