County,Doreen Carter (I) (Dem)_Election Day Votes,Doreen Carter (I) (Dem)_Absentee by Mail Votes,Doreen Carter (I) (Dem)_Advanced Voting Votes,Doreen Carter (I) (Dem)_Provisional Votes,Doreen Carter (I) (Dem)_TOTAL VOTES,Total,
DeKalb,1699,3175,6199,27,11100,11100,
Rockdale,1471,2875,5537,6,9889,9889,
