index,County,Precinct,Registered Voters,Andrea L. Anthony (I) (Rep)_Election Day Votes,Andrea L. Anthony (I) (Rep)_Advanced Voting Votes,Andrea L. Anthony (I) (Rep)_Absentee by Mail Votes,Andrea L. Anthony (I) (Rep)_Provisional Votes,Andrea L. Anthony (I) (Rep)_Choice Total,Total,
0,Lamar,Barnesville,2546,230,545,291,0,1066,1066,
1,Lamar,Chappell Mill V FD,1577,328,620,161,1,1110,1110,
2,Lamar,Senior Citizen Bldg,1337,170,442,144,1,757,757,
3,Lamar,Redbone,623,201,169,62,0,432,432,
4,Lamar,L C S C,2808,369,1139,290,6,1804,1804,
5,Lamar,Milner,3948,749,1503,364,1,2617,2617,
