index,County,Precinct,Registered Voters,Brad White (I) (Rep)_Election Day Votes,Brad White (I) (Rep)_Advanced Voting Votes,Brad White (I) (Rep)_Absentee by Mail Votes,Brad White (I) (Rep)_Provisional Votes,Brad White (I) (Rep)_Choice Total,Total,
0,Lamar,Barnesville,2546,245,600,328,0,1173,1173,
1,Lamar,Chappell Mill V FD,1577,328,629,160,1,1118,1118,
2,Lamar,Senior Citizen Bldg,1337,179,460,153,1,793,793,
3,Lamar,Redbone,623,202,174,64,0,440,440,
4,Lamar,L C S C,2808,372,1170,306,6,1854,1854,
5,Lamar,Milner,3948,769,1534,380,1,2684,2684,
